CK	D	LN	LP	
Blastocatellaceae	0.113807838	1.29E-07	0.016092708	0.526032396
Pyrinomonadaceae	0.138374869	3.08E-07	0.002675079	0.330863349
X11.24	0.074092041	2.02E-07	0.043869386	7.99E-07
Fibrobacteraceae	0.009481865	2.03E-07	9.47E-07	0.002663094
Nostocaceae	0.194544841	9.49E-07	0.012146298	0.066686849
Entotheonellaceae	7.23E-07	1.97E-07	0.02772504	2.04E-07
Microscillaceae	1.78E-06	1.54E-07	0.252388001	1.68E-07
Sphingobacteriaceae	0.21551747	1.46E-07	1.75E-07	9.46E-07
Chitinophagaceae	0.042542258	7.83E-07	1.00E-06	9.66E-07
Bacteroidaceae	0.22768855	1.86E-06	7.38E-07	0.022749141
Hymenobacteraceae	0.168032403	0.026258284	0.040990375	5.26E-07
Bryobacteraceae	9.78E-07	1.44E-07	0.011833646	0.296289459
Solibacteraceae	0.183111727	2.00E-07	0.011477754	1.34E-06
Opitutaceae	0.242141977	4.17E-07	0.228943894	0.401611787
Pedosphaeraceae	0.139173531	2.30E-07	0.215205636	0.154922377
Xiphinematobacteraceae	0.03677534	0.132326323	1.87E-07	0.009350385
Chthoniobacteraceae	0.135560651	1.52E-06	0.093079831	0.448808419
Rubritaleaceae	0.215990218	1.88E-07	0.103953541	0.402797383
Alicyclobacillaceae	0.024938105	0.073742842	1.85E-07	6.03E-07
Planococcaceae	9.49E-07	1.22E-06	2.15E-07	0.021792844
Bacillaceae	0.103448588	1.62E-07	0.016438042	0.021725633
Lactobacillaceae	9.52E-07	1.09E-06	1.56E-07	9.23E-07
Enterococcaceae	1.51E-07	9.62E-07	8.22E-07	8.49E-07
Clostridiaceae	0.191251221	0.083700521	0.099672461	0.061417151
Gracilibacteraceae	7.27E-07	1.86E-07	0.054343507	0.119822362
S085	5.02E-07	6.50E-07	0.00926626	0.025447664
Anaerolineaceae	0.094012197	1.75E-07	2.21E-07	1.05E-06
Gitt.GS.136	1.47E-07	6.60E-07	0.036221617	0.048769659
KD4.96	0.07909797	1.03E-06	1.68E-06	1.62E-07
Herpetosiphonaceae	0.169564399	7.59E-07	0.051266399	1.80E-07
AKYG1722	0.19893892	0.158077128	2.17E-07	0.004940954
Roseiflexaceae	0.006521272	1.34E-07	0.117142625	0.519766991
JG30.KF.CM45	0.026780591	1.56E-07	0.00016288	2.39E-07
TK10	7.33E-07	1.84E-07	0.030490009	4.29E-07
Gemmatimonadaceae	0.051884977	3.08E-07	2.28E-07	0.108381648
S0134_terrestrial_group	0.073007303	1.76E-07	2.22E-07	5.65E-07
Thermoactinomycetaceae	0.063095569	0.230421454	2.03E-07	0.06061116
Desulfitobacteriaceae	6.39E-07	2.04E-07	0.080927668	1.54E-07
Paenibacillaceae	1.00E-06	1.22E-07	0.026004378	0.026619512
Limnochordia	2.00E-07	2.02E-07	2.08E-07	2.06E-07
Lachnospiraceae	0.174541587	1.19E-06	0.010165763	1.00E-06
