CK	D	LN	LP	
X11.24	0.02650333	0.071653457	1.81E-06	0.202897303
Fibrobacteraceae	3.04E-07	0.236519446	1.62E-07	0.012807153
Nostocaceae	1.66E-06	0.168622934	1.56E-07	0.287910393
Entotheonellaceae	1.64E-06	0.272480178	0.03704908	0.15138381
Microscillaceae	5.95E-07	1.33E-07	8.57E-07	0.173239803
Sphingobacteriaceae	0.141222265	0.018054659	0.331394736	0.0322594
Chitinophagaceae	0.056801238	0.180117071	0.212608718	0.242806559
Bacteroidaceae	0.000333354	0.000331356	1.96E-07	1.14E-06
Hymenobacteraceae	1.45E-06	0.180998413	0.169796368	0.20952046
Bryobacteraceae	1.40E-06	0.158319827	1.31E-07	0.479757754
Solibacteraceae	1.41E-07	0.178513802	0.070065676	0.241591962
Opitutaceae	0.272333042	1.53E-07	8.89E-07	0.127962049
Pedosphaeraceae	1.56E-06	1.56E-07	1.72E-06	0.236228102
Xiphinematobacteraceae	0.130796483	0.005958502	2.11E-07	0.313481892
Chthoniobacteraceae	1.68E-06	0.10845302	0.013284079	0.388478955
Rubritaleaceae	0.291646751	3.04E-07	0.069563226	0.164701235
Alicyclobacillaceae	1.30E-07	0.068918214	1.46E-06	0.186406418
Planococcaceae	0.255274631	0.286277567	0.192745829	0.276471638
Bacillaceae	0.040959507	0.006121021	0.145266968	0.40719306
Lactobacillaceae	1.96E-07	1.89E-07	0.059771009	2.09E-07
Enterococcaceae	2.01E-07	0.000336119	7.39E-07	0.105761594
Clostridiaceae	3.04E-07	0.455213905	0.092517664	0.176179766
Gracilibacteraceae	1.56E-07	0.275247944	0.171721547	0.251709792
S085	0.046800149	0.073734298	0.106172716	0.309882172
Anaerolineaceae	2.00E-07	1.17E-06	0.286996072	0.291526322
Gitt.GS.136	0.009849306	4.61E-07	0.217177653	0.197045716
KD4.96	1.46E-07	0.009454945	0.295903948	0.276962593
Herpetosiphonaceae	0.304864334	0.101526884	1.63E-07	0.042287376
AKYG1722	0.074583609	0.389561634	0.210059934	0.177376383
Roseiflexaceae	0.354390026	0.108659853	3.04E-07	0.25857247
JG30.KF.CM45	1.70E-07	0.090763255	3.04E-07	0.14815241
TK10	1.02E-06	0.05346238	0.368441581	0.339566579
Gemmatimonadaceae	1.80E-06	1.03E-06	0.106089511	0.207472091
S0134_terrestrial_group	1.52E-06	0.229736571	0.313604685	0.243548045
Thermoactinomycetaceae	4.47E-07	0.099025414	4.89E-07	0.069169358
Desulfitobacteriaceae	1.84E-06	1.57E-07	0.160049859	0.087239286
Paenibacillaceae	0.053529392	0.101032493	0.302506851	0.366955467
Limnochordia	0.106651411	1.71E-06	0.149906658	1.62E-07
Lachnospiraceae	1.50E-07	0.17069105	0.122763075	0.237633104
