Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_S103_2 X103 Inbred_line CK Rhizosphere 2 P08 137 167 1819 0 0 8 109 21 21 0 0 27 5 261 0 0 0 188 4 0 0 367 216 9 0 4 2 15 2816 34 0 0 0 30 5 0 0 0 0 23 6927 11391 1940 0 73391 3 2 745 4 0 0 2 187 1664 672 4 46 24 10
CK_S103_3 X103 Inbred_line CK Rhizosphere 3 P08 19 184 402 0 2 0 19 0 20 0 0 15 0 46 0 0 0 166 0 8 6 0 184 7 0 0 0 38 663 37 0 0 0 5 12 0 0 0 2 123 295 38360 3134 0 65052 0 0 288 0 0 0 8 47 170 633 34 33 8 28
CK_S104_1 X104 Inbred_line CK Rhizosphere 1 P14 229 243 164 0 8 5 440 15 1444 0 3 97 0 839 14 4 7 1070 60 29 17 0 2715 18 8 5 3 253 100 2 0 5 3 183 38 11 0 17 37 90 12831 1200 2237 3 6845 10 12 3113 8 120 0 8 109 1287 5371 0 347 6 4
CK_S104_2 X104 Inbred_line CK Rhizosphere 2 P14 124 142 1329 4 4 3 110 6 32 0 0 20 0 385 0 0 0 209 10 0 0 36 379 22 0 0 0 15 1177 17 0 4 71 12 6 0 0 4 5 45 2968 11950 2166 0 85170 2 0 408 0 4 0 0 68 352 1444 0 48 7 8
CK_S104_3 X104 Inbred_line CK Rhizosphere 3 P14 17 45 241 0 0 0 58 13 47 0 0 15 0 25 0 0 0 202 0 0 0 17 203 0 0 0 0 0 2306 6 0 0 6 0 12 0 0 0 0 24944 396 2068 9816 0 70629 3 0 198 0 0 0 30 73 326 734 15 53 0 12
CK_S105_1 X105 Inbred_line CK Rhizosphere 1 P05 265 206 3326 0 0 7 160 18 66 0 0 135 0 239 0 0 0 386 22 5 0 2 5016 15 3 2 0 6 89 3 0 2 347 58 31 0 0 7 2 33 4523 961 12048 5 38595 4 0 1313 5 20 0 0 102 675 2445 0 348 7 0
CK_S105_2 X105 Inbred_line CK Rhizosphere 2 P05 64 347 2353 0 0 7 129 10 39 0 0 27 10 42 7 0 0 192 5 0 0 1243 140 12 0 0 3 387 10430 243 0 0 8 18 9 0 0 0 5 26 1137 10295 4303 0 77060 5 0 523 0 0 3 0 535 428 1336 0 37 12 4
CK_S105_3 X105 Inbred_line CK Rhizosphere 3 P05 57 77 215 0 0 0 22 0 35 0 0 13 0 88 0 0 2 189 12 0 0 18 236 0 0 0 0 0 12407 175 0 0 0 33 16 2 6 0 2 238 360 4430 5522 0 86594 0 0 498 0 3 0 4 354 596 698 20 64 5 15
CK_S106_1 X106 Inbred_line CK Rhizosphere 1 P05 657 331 750 0 0 21 206 19 300 0 13 270 2 678 5 8 0 649 62 19 0 47 6126 141 32 0 3 4 23 6 0 8 6 183 28 0 2 24 34 87 2818 3570 4503 5 5282 0 4 2589 12 57 0 3 219 2125 6042 0 403 18 9
CK_S106_2 X106 Inbred_line CK Rhizosphere 2 P05 74 154 2508 0 0 2 99 5 33 0 0 25 10 58 0 0 0 104 2 5 0 14 169 9 0 0 0 392 1848 10 0 0 0 2 0 0 0 0 3 26 471 14570 2395 0 80045 4 0 400 0 0 0 2 53 323 666 7 58 113 6
