Genotype Germplasm Treatment Compartment Block Plot Apodus Schizothecium Dichotomopilus Trichocladium Humicola Chaetomium Botryotrichum Botryoderma Gelasinospora Nigrospora Truncatella Ophiosphaerella Fusidium Chaetosphaeria Chloridium Myrmecridium Seychellomyces Cephalotrichum Phaeoacremonium Kernia Periconia Exophiala Cladosporium Mycosphaerella Neobulgaria Minimedusa Solicoccozyma Phlyctochytrium Scutellinia Byssonectria Ochroconis Mortierella Udeniozyma Mrakia Tausonia Rhizophydium Geastrum Waitea Thanatephorus Rhizopus Clitopilus Tubaria Ganoderma Sistotrema Syncephalis Setophoma Paraphoma Setophaeosphaeria Leucothecium Setosphaeria Paraphaeosphaeria Neoroussoella Simplicillium Sarocladium Paramyrothecium Achroiostachys Monocillium Clonostachys Acremonium Aspergillus Penicillium Arachnomyces Talaromyces Gymnoascus Ciliolarina Pseudeurotium Chrysosporium Pseudogymnoascus Remersonia Tetracladium Colletotrichum Striatibotrys Hydropisphaera Gliomastix Metacordyceps Trichoderma Volutella Fusicolla Fusarium Nectria Thelonectria Metarhizium Emericellopsis Lecanicillium Scytalidium Valsonectria Niesslia Purpureocillium
CK_S35_3 X35 Landrace CK Rhizosphere 3 P05 17 16 6 0 25 12 5 237 0 0 6 0 44 0 0 13 0 0 24 3 9 32 0 0 0 12 131 0 0 4 0 75 2 0 0 0 0 0 0 9360 57 0 0 0 11 0 0 0 0 0 0 0 22 96 20 0 5 307 1130 11 16783 4 77707 0 0 284 0 0 2 5 0 3 7 30 134 2490 0 164 732 0 7 11 120 3 34 6 22 26
CK_S36_1 X36 Landrace CK Rhizosphere 1 P11 0 197 16 56 16 43 10 1244 0 0 6 0 77 3 0 52 0 0 186 0 4 179 4 0 0 25 245 0 24 16 0 1083 7 0 0 0 0 0 0 198 8 0 0 0 39 0 0 5 0 0 3 18 0 180 13 0 20 437 559 0 6967 0 17689 0 0 1428 0 4 8 89 0 4 0 29 40 68892 3 238 932 4 10 17 121 0 23 13 5 0
CK_S36_2 X36 Landrace CK Rhizosphere 2 P11 20 309 32 53 10 45 0 13058 8 0 11 2 103 0 3 32 0 0 7 0 53 175 0 0 0 0 257 5 0 25 18 591 72 2 0 0 0 231 0 657 14 0 0 0 18 0 0 7 0 0 0 5 0 227 9 0 16 555 676 7 1972 0 48801 0 0 586 0 4 0 111 0 4 3 42 66 567 0 230 2363 14 0 34 1538 0 36 7 10 18
CK_S36_3 X36 Landrace CK Rhizosphere 3 P11 0 14 7 0 26 0 5 313 2 0 0 0 30 6 0 8 0 0 6 0 3 41 0 0 0 29 141 7 0 0 6 129 0 0 3 0 0 0 0 2024 25 0 0 0 22 0 0 0 0 0 0 0 100 78 10 0 0 188 751 0 7254 0 89327 0 0 928 0 0 6 21 0 8 3 8 77 271 0 276 488 0 4 6 67 24 24 9 12 12
CK_S37_1 X37 Landrace CK Rhizosphere 1 P14 0 160 12 160 0 106 0 497 0 2 8 0 285 2 23 126 0 0 83 2 0 130 0 0 0 0 205 0 11 2 0 641 7 0 0 0 0 10 210 175 0 0 0 40 28 0 0 2 9 3 3 7 0 148 10 0 8 298 322 0 2379 0 97747 0 0 551 0 0 16 76 0 0 0 10 32 4316 0 187 1346 3 5 33 36 0 0 12 6 0
CK_S37_2 X37 Landrace CK Rhizosphere 2 P14 0 56 18 39 31 16 0 1176 0 3 2 0 56 0 0 139 0 0 18 0 4 208 0 0 0 10 308 10 14 16 13 364 22 0 4 0 0 14 0 2354 17 0 0 7 40 0 0 0 0 0 0 5 2 4904 7 0 12 1270 680 4 2172 0 84867 0 0 583 4 0 4 41 0 4 12 15 33 975 0 252 1180 16 6 42 70 0 3 4 0 15
CK_S37_3 X37 Landrace CK Rhizosphere 3 P14 10 33 4 0 26 10 0 1179 0 0 4 0 46 0 0 29 0 0 30 0 0 31 0 0 0 0 111 0 2 0 0 85 3 0 0 0 0 3 9 177 14 0 0 0 18 0 0 8 0 0 0 0 24 27 0 0 8 447 654 0 10026 2 95989 0 0 200 0 0 3 6 0 7 4 18 50 225 0 110 806 2 0 10 190 11 81 7 190 7
CK_S38_1 X38 Landrace CK Rhizosphere 1 P05 0 298 80 102 52 4 16 2965 0 7 25 0 631 0 6 114 0 0 280 3 16 632 9 4 0 0 707 2 60 0 0 3160 19 0 80 0 3 19 9 5619 23 0 3 0 94 0 3 11 4 3 10 35 0 182 36 0 27 783 625 0 7651 3 51631 0 9 3929 5 5 18 240 3 0 0 33 64 1473 0 615 1624 16 17 324 108 0 26 11 6 0
CK_S38_2 X38 Landrace CK Rhizosphere 2 P05 29 74 28 44 13 253 10 3640 0 2 7 0 404 11 8 196 2 0 33 3 44 600 24 0 0 0 646 0 19 17 0 657 23 0 0 11 3 825 0 3731 14 0 3 15 81 0 3 9 0 11 11 0 5 598 74 0 22 374 1006 0 4454 3 40404 0 0 1480 7 0 4 120 0 0 95 89 41 9185 0 259 2856 13 9 121 283 0 10 10 6 8
CK_S38_3 X38 Landrace CK Rhizosphere 3 P05 17 18 29 30 0 0 0 217 0 0 0 0 110 0 3 63 0 0 22 0 14 67 0 0 0 0 278 0 0 4 0 244 0 0 0 0 0 0 0 305 37 0 0 0 30 0 0 2 0 0 0 0 15 56 17 0 13 305 384 6 29642 0 67842 0 0 383 0 0 3 37 0 11 8 13 69 174 0 186 963 8 0 13 114 11 43 7 5 3
CK_S39_1 X39 Landrace CK Rhizosphere 1 P14 80 119 9 65 18 4 0 560 0 3 2 0 346 0 4 529 0 0 68 0 0 213 0 3 0 39 463 0 18 16 0 928 39 0 0 0 3 45 29 57 0 0 0 29 40 4 0 8 3 0 0 8 0 9819 20 0 0 2246 1811 0 33305 5 25517 0 0 582 0 8 2 63 0 4 3 21 31 435 0 213 2806 9 5 130 38 0 50 12 197 0
CK_S39_2 X39 Landrace CK Rhizosphere 2 P14 4 63 17 21 12 162 7 5338 0 5 4 0 217 5 3 610 0 6 8 2 28 128 122 46 0 0 238 0 0 4 12 534 24 0 0 0 0 15 0 8283 123 0 0 10 53 0 0 7 0 0 0 2 0 912 0 0 12 854 1994 0 7335 0 49685 0 0 410 6 32 7 44 0 3 45 1191 66 7920 0 177 1365 10 0 156 216 2 0 5 14 35
CK_S39_3 X39 Landrace CK Rhizosphere 3 P14 4 48 13 0 17 23 0 694 0 0 0 0 39 0 0 13 0 0 17 0 0 78 0 0 0 4 188 34 0 0 0 68 0 0 0 0 4 0 75 539 8 0 2 0 17 0 0 4 0 0 0 0 23 24 7 0 5 525 581 0 3317 0 102031 0 0 715 0 0 0 8 0 0 5 14 57 502 0 135 830 4 0 9 137 47 0 3 4 11
CK_S4_1 X4 Landrace CK Rhizosphere 1 P11 27 370 57 212 39 0 29 760 8 4 34 0 946 5 12 80 0 0 272 6 26 853 15 9 0 265 469 2 36 32 6 2987 11 2 8 0 4 54 665 0 17 0 0 0 51 0 0 14 9 0 436 14 0 352 48 37 24 1028 431 101 7084 7 56069 0 0 1664 13 5 10 267 18 4 7 223 82 767 0 697 2088 15 13 245 83 27 35 19 21 0
CK_S4_2 X4 Landrace CK Rhizosphere 2 P11 23 115 44 33 21 126 12 2163 0 0 4 4 133 3 9 35 0 0 19 0 7 89 0 0 0 7 242 31 0 9 3 134 8 0 0 0 0 7 0 19581 7 0 0 0 27 0 0 0 6 0 0 13 0 492 58 5 21 1867 2362 124 11042 0 61344 0 0 589 4 5 0 81 8 9 22 83 328 5882 0 251 2458 14 12 70 188 0 104 17 114 31
CK_S4_3 X4 Landrace CK Rhizosphere 3 P11 14 42 5 0 14 20 0 692 0 0 4 0 46 0 0 19 0 0 19 0 0 87 0 0 0 0 295 8 0 2 3 104 7 0 0 0 0 18 0 3724 24 0 0 2 21 21 0 0 0 2 0 6 0 119 16 0 8 206 1144 0 11758 0 78204 0 0 446 0 0 0 13 0 0 0 21 178 65 0 319 2369 3 18 11 112 37 12 27 6 0
CK_S40_1 X40 Landrace CK Rhizosphere 1 P11 51 153 27 98 0 13 0 1448 0 3 13 0 275 3 11 145 0 0 115 0 16 467 0 0 0 0 468 0 20 5 0 1042 25 0 0 0 0 41 7 281 128 0 5 0 59 0 0 11 0 0 0 20 0 520 22 0 21 903 1598 0 2671 2 94644 0 0 1789 5 0 12 122 2 5 0 20 52 927 0 418 2464 9 11 43 42 0 19 24 17 0
CK_S40_2 X40 Landrace CK Rhizosphere 2 P11 4 70 29 0 14 14 30 2271 11 0 0 0 102 3 0 61 2 0 0 0 9 137 0 0 0 0 284 0 10 2 6 398 23 0 0 0 0 16 0 4207 0 0 0 79 22 0 0 4 0 2 2 0 0 69 9 0 17 766 643 0 4009 0 63283 2 0 432 4 0 5 32 0 3 293 85 38 537 0 164 1164 5 5 139 770 0 32 0 13 127
CK_S40_3 X40 Landrace CK Rhizosphere 3 P11 7 46 10 0 11 5 0 285 0 0 0 0 37 0 0 7 0 0 9 0 0 17 0 0 0 47 79 4 0 0 0 103 0 0 0 0 0 0 9 3601 8 0 0 0 0 0 0 0 0 0 0 0 22 206 6 0 9 265 4467 0 8102 0 93703 0 0 282 0 0 0 0 0 0 64 20 50 354 0 65 415 0 2 5 76 16 10 0 11 26
CK_S41_1 X41 Landrace CK Rhizosphere 1 P05 81 330 51 136 30 0 15 1379 9 0 8 0 2356 2 4 145 2 0 153 4 12 475 0 4 3 12 749 0 60 2 0 1692 34 3 5 3 2 5 0 1432 0 0 6 0 214 0 0 5 0 121 3 30 13 2648 62 0 28 1537 725 0 1427 0 32926 5 0 2083 9 3 6 267 0 9 0 47 58 893 4 587 3275 13 34 55 61 0 17 11 12 0
CK_S41_2 X41 Landrace CK Rhizosphere 2 P05 17 86 47 24 18 14 0 2288 0 0 6 0 196 4 0 213 0 3 42 0 26 77 44 0 0 13 310 17 0 21 14 144 0 0 0 0 4 28 0 2391 42 0 0 2186 28 0 0 0 0 6 12 11 0 182 0 10 12 213 1174 0 9749 0 66383 0 0 734 2 12 4 38 0 0 14 258 72 1226 0 208 1636 11 3 118 78 0 26 3 176 13
CK_S41_3 X41 Landrace CK Rhizosphere 3 P05 0 49 7 15 0 8 6 456 4 0 0 0 30 3 0 3 0 0 394 0 0 36 0 0 0 5 52 14 4 0 0 101 0 0 0 2 0 0 0 501 21 0 0 0 4 0 0 0 0 8 11 0 40 383 5 0 7 183 888 0 7510 0 103254 0 0 513 2 0 3 24 0 4 3 4 88 170 0 146 621 8 0 8 63 17 9 10 20 12
CK_S42_1 X42 Landrace CK Rhizosphere 1 P08 24 672 43 123 0 9 8 821 16 0 21 0 257 10 20 155 0 0 91 9 24 1516 5 0 0 0 1235 0 66 125 2 1795 73 8 32 0 6 2616 50 118 0 0 5 0 288 0 0 89 15 10 9 79 0 172 58 0 38 1043 582 0 3346 0 14780 0 5 3242 10 0 2 504 0 15 0 46 57 16041 0 1011 4378 13 8 54 91 0 143 47 41 0
CK_S42_2 X42 Landrace CK Rhizosphere 2 P08 0 22 19 0 29 26 0 1550 0 3 0 0 139 10 5 117 0 0 14 0 15 40 0 0 0 13 173 10 4 0 0 146 10 0 0 0 0 13 0 3605 12 0 0 10 19 2 0 0 0 0 0 0 0 156 7 0 16 351 1292 0 1811 0 72575 0 0 519 5 0 0 9 2 0 17 30 67 20991 0 99 928 6 9 48 98 0 8 3 7 52
CK_S42_3 X42 Landrace CK Rhizosphere 3 P08 0 14 6 0 7 0 0 213 0 0 0 0 17 0 0 3 0 0 9 0 0 14 0 0 0 0 51 0 0 0 0 53 0 0 0 0 0 0 0 1980 1540 0 0 0 15 0 0 21 0 0 0 9 46 183 25 0 6 399 3227 31 10671 0 52344 0 0 133 0 0 0 6 0 0 2 14 100 209 0 123 22018 8 9 2 37 4 22 0 0 14
CK_S43_1 X43 Landrace CK Rhizosphere 1 P11 47 34 5 0 16 8 0 69 0 0 10 0 426 0 3 50 0 0 22 0 6 103 7 0 0 0 41 0 12 0 5 223 4 0 0 0 0 8 12 7582 79 0 0 0 0 0 0 2 4 0 5 0 10 341 0 7 18 501 625 113 6789 4 44069 3 0 1073 0 0 0 121 0 0 28 16 97 721 0 209 1019 3 8 44 22 53 19 0 27 11
CK_S43_2 X43 Landrace CK Rhizosphere 2 P11 7 48 10 0 27 49 0 735 0 0 2 0 125 3 2 76 0 0 14 0 14 44 0 0 0 48 212 0 0 3 2 132 9 0 0 0 0 13 0 2775 140 0 0 17 11 0 0 9 0 3 0 3 0 136 12 0 5 203 720 0 2727 0 83055 0 0 171 0 9 0 16 0 9 11 52 54 2896 0 74 1048 3 0 51 45 9 0 17 155 22
CK_S43_3 X43 Landrace CK Rhizosphere 3 P11 0 41 11 0 33 43 0 1755 0 0 0 0 46 0 0 0 0 0 34 0 0 25 4 0 0 10 183 0 0 0 0 81 0 0 0 0 0 0 0 2163 36 0 0 0 4 0 0 2 0 2 0 0 0 270 8 0 35 786 2268 6 14383 0 67027 0 0 358 0 0 6 14 5 3 4 43 159 174 0 203 2812 9 0 13 70 155 38 5 5 19
CK_S44_1 X44 Landrace CK Rhizosphere 1 P08 0 105 19 48 0 0 10 922 0 0 7 0 436 3 0 260 0 0 50 0 0 283 0 0 0 0 583 0 6 39 0 859 9 0 0 0 0 0 1103 486 8 0 0 0 18 0 0 11 3 0 6 12 0 6952 15 0 0 1827 340 0 6193 0 86986 0 0 724 0 0 4 58 0 5 4 28 45 1098 0 201 5340 4 0 41 27 0 19 7 9 0
CK_S44_2 X44 Landrace CK Rhizosphere 2 P08 10 48 20 22 0 28 0 1585 0 0 2 0 96 0 5 92 0 0 22 0 13 40 0 0 0 8 403 47 6 0 0 270 8 0 0 0 0 16 0 2201 3 0 0 6 44 0 0 2 4 0 0 3 0 5799 4 0 7 754 503 6 15901 0 57190 2 0 300 0 0 0 28 0 3 319 83 20 945 0 90 2141 6 0 40 168 0 6 3 11 21
CK_S44_3 X44 Landrace CK Rhizosphere 3 P08 0 27 6 12 0 0 0 476 0 3 0 0 80 0 0 22 0 0 20 0 0 12 0 0 0 0 92 0 0 3 0 75 3 0 0 0 0 26 0 730 19 0 0 0 0 0 0 0 2 0 0 0 0 6947 17 0 6 142 876 48 12136 0 84586 0 0 513 0 0 0 11 4 2 3 34 65 145 0 134 920 4 3 5 84 11 23 2 0 23
CK_S45_1 X45 Landrace CK Rhizosphere 1 P05 0 150 21 59 29 0 0 1862 0 4 5 0 173 0 4 54 0 0 112 4 5 623 0 0 0 0 346 10 24 3 0 982 5 0 0 0 0 0 4 2484 23 0 0 0 26 8 0 0 0 0 12 18 0 188 38 0 15 555 336 0 6344 0 74105 0 4 907 0 0 5 95 4 8 0 55 43 765 0 377 1546 0 8 83 45 0 14 6 36 4
CK_S45_2 X45 Landrace CK Rhizosphere 2 P05 30 51 27 63 0 21 0 7925 3 0 2 0 147 3 3 79 0 0 29 0 9 58 64 15 4 6 336 214 18 0 0 182 33 0 3 0 0 1159 0 1239 5 0 0 9 24 7 0 4 3 0 5 7 0 322 11 0 19 131 977 168 2439 0 79377 0 0 489 4 5 3 42 0 2 399 51 46 3022 0 113 1677 15 8 25 84 2 63 8 16 30
CK_S45_3 X45 Landrace CK Rhizosphere 3 P05 0 46 7 0 28 13 0 382 0 0 4 0 65 2 0 11 0 0 31 3 0 43 0 0 0 540 182 0 2 5 0 167 0 0 0 0 0 0 0 2290 4 0 2 0 7 0 0 0 0 0 0 0 0 676 11 0 7 132 1211 0 13243 2 97330 0 0 422 0 0 21 11 23 7 13 16 46 85 0 366 685 5 0 14 473 2 13 11 0 21
CK_S46_1 X46 Landrace CK Rhizosphere 1 P14 24 109 50 42 67 3 0 5641 0 4 7 0 110 0 3 34 0 0 121 0 17 219 0 0 0 36 414 0 22 24 0 1925 8 4 4 0 0 3 4 4467 10 0 5 9 63 0 0 10 8 0 9 14 0 1741 20 0 10 789 266 0 13960 2 50543 0 0 1388 0 0 13 125 0 0 5 22 31 684 0 380 3538 6 11 22 68 0 47 4 7 0
CK_S46_2 X46 Landrace CK Rhizosphere 2 P14 9 66 15 56 12 15 11 5504 0 0 4 0 155 2 0 133 2 0 9 0 8 103 4 14 0 0 193 13 3 3 6 378 6 0 0 0 3 28 0 3076 77 0 3 20 0 0 0 7 0 6 2 0 0 320 42 0 14 788 906 0 6783 0 66243 0 0 548 5 0 0 42 3 7 24 69 124 3437 0 180 774 6 0 58 179 58 48 7 11 26
CK_S46_3 X46 Landrace CK Rhizosphere 3 P14 112 59 13 0 14 5 0 228 0 0 0 0 16 0 0 6 0 0 31 0 7 57 0 6 0 5 173 0 0 0 0 86 0 0 8 0 0 0 0 28409 118 0 0 0 0 3 0 0 2 0 0 0 3 300 10 0 13 182 549 5 3109 0 51321 0 0 470 0 0 14 13 0 8 0 6 1103 213 0 177 757 14 5 28 88 0 48 9 4 128
CK_S47_1 X47 Landrace CK Rhizosphere 1 P05 100 90 19 58 27 0 0 362 5 6 7 0 130 3 0 54 0 0 155 8 0 139 0 0 0 0 177 0 10 12 0 924 4 0 0 7 0 0 69 1844 14 0 0 5 40 0 0 0 0 0 0 0 0 228 11 0 19 690 269 7 9596 6 43595 0 0 441 0 3 9 137 0 5 0 44 46 153 0 306 3050 8 8 29 33 0 19 2 7 0
CK_S47_2 X47 Landrace CK Rhizosphere 2 P05 0 67 31 53 0 361 9 5701 6 0 6 0 228 0 0 126 0 0 17 0 60 392 0 0 0 0 311 12 6 0 12 796 19 0 0 0 2 0 0 769 12 0 4 9 24 0 0 0 0 0 5 3 0 2310 22 0 25 339 25905 4 5820 0 50131 0 0 545 5 34 5 48 0 9 42 2456 36 960 0 182 2552 12 8 290 336 0 105 7 22 32
CK_S47_3 X47 Landrace CK Rhizosphere 3 P05 0 23 15 29 0 14 11 657 0 0 0 0 49 4 0 123 0 0 22 0 8 54 0 0 0 13 296 0 0 11 4 142 10 0 0 0 32 0 0 7910 31 0 0 0 33 0 0 3 0 0 2 0 58 5390 10 0 6 123 1155 0 5315 0 73198 0 0 2560 0 0 17 18 5 4 4 11 88 186 0 214 1354 0 0 13 89 25 197 10 35 29
CK_S48_1 X48 Landrace CK Rhizosphere 1 P14 160 167 33 76 28 0 15 1025 2 6 7 0 142 6 10 78 0 0 506 5 5 350 0 0 2 4 386 0 6 41 0 1678 12 3 0 0 0 0 5 5616 21 0 0 5 145 0 0 10 3 0 18 7 0 41 33 0 15 2042 403 8 13841 2 29061 0 0 1162 9 15 0 133 0 5 0 27 77 307 6 447 16083 24 15 282 40 0 51 16 32 0
CK_S48_2 X48 Landrace CK Rhizosphere 2 P14 10 20 15 29 0 36 5 1781 0 0 0 0 122 13 0 105 0 0 19 0 5 194 0 0 0 0 164 15 5 15 0 195 16 0 3 0 0 573 0 419 4 0 2 17 23 4 0 11 0 0 0 0 0 1583 12 0 11 309 698 0 4769 0 85460 0 0 382 0 12 0 29 0 4 11 39 41 5350 0 107 1595 7 0 29 353 0 16 9 9 9
CK_S48_3 X48 Landrace CK Rhizosphere 3 P14 0 16 4 0 0 9 0 582 0 0 0 0 25 4 0 8 0 0 29 0 0 24 0 0 0 0 42 0 0 0 0 59 0 0 0 0 0 36 87 169 13 0 0 0 0 0 0 0 0 0 0 0 0 153 15 0 4 426 858 16 16849 0 63792 0 0 171 0 0 0 7 0 0 4 8 41 76 0 102 771 7 0 6 49 0 94 5 9 19
CK_S49_1 X49 Landrace CK Rhizosphere 1 P05 30 128 18 76 0 5 0 4539 6 9 7 0 107 3 4 41 0 0 101 0 0 262 3 0 0 0 215 0 4 6 0 1296 5 0 0 0 3 2 4 3798 879 2 0 8 9 0 0 0 0 0 2 0 6 81 56 3 18 4336 375 0 1615 0 78721 0 0 1316 3 103 14 62 0 5 0 30 154 2462 0 433 2510 6 15 84 89 0 108 18 11 0
CK_S49_2 X49 Landrace CK Rhizosphere 2 P05 0 12 9 0 19 13 48 750 0 0 0 0 37 0 3 34 0 0 4 0 2 75 0 0 0 121 58 0 0 16 0 91 4 0 0 0 0 8 0 1952 7 0 0 5 6 0 0 0 0 0 0 5 0 350 6 0 7 1016 1425 0 894 0 47658 0 0 109 0 3 0 4 0 0 24 25 18 64189 0 78 322 4 0 36 164 0 4 2 2 7
CK_S49_3 X49 Landrace CK Rhizosphere 3 P05 12 128 13 31 0 17 0 1088 0 0 6 0 88 0 0 18 0 0 30 4 3 124 0 0 0 0 379 9 6 19 2 286 0 0 0 0 0 41 0 7066 4538 0 0 0 9 0 0 0 0 0 9 0 0 339 14 0 18 652 1201 3 12517 5 74390 0 0 659 0 8 21 33 0 11 24 14 115 176 0 710 2369 10 5 9 134 0 158 20 8 27
CK_S5_1 X5 Landrace CK Rhizosphere 1 P08 128 678 83 182 62 0 38 12046 13 6 9 0 245 18 22 108 7 0 221 13 20 582 18 6 3 18 809 16 84 19 10 4843 32 9 6 0 0 28 101 17 27 0 0 0 240 0 0 30 0 0 14 31 0 118 64 0 50 1751 616 32657 2629 26 9765 0 0 3577 4 8 36 412 5 18 0 89 112 1487 5 725 2101 28 17 156 110 0 134 24 38 4
CK_S5_2 X5 Landrace CK Rhizosphere 2 P08 25 93 42 59 23 239 11 2540 0 0 13 0 130 13 4 48 0 0 45 0 16 184 0 0 3 0 205 7 10 0 0 281 14 0 6 0 0 14 0 5946 13 0 0 0 11 2 0 7 0 0 0 10 0 436 64 0 27 2652 1024 566 1512 0 66084 2 0 437 0 0 0 70 34 5 9 109 99 779 0 231 1653 13 10 47 1295 59 91 7 11 23
CK_S5_3 X5 Landrace CK Rhizosphere 3 P08 7 33 11 0 13 30 0 411 0 0 0 0 40 0 0 70 0 0 19 0 0 20 0 0 0 4 135 0 5 0 0 137 3 0 0 0 0 0 0 15313 1674 0 3 0 3 0 0 4 0 4 0 0 0 169 17 0 5 579 530 5 12264 4 61161 0 0 379 0 0 0 16 0 0 5 37 513 129 0 133 919 4 0 14 72 5594 6 3 14 2
CK_S50_1 X50 Landrace CK Rhizosphere 1 P05 50 707 28 112 26 11 0 3702 0 6 20 0 314 5 7 137 4 0 220 5 22 523 10 5 6 0 438 0 4 25 0 1939 21 0 18 0 0 0 1804 11459 45 0 5 3974 45 0 0 72 5 0 15 20 0 33 56 2 0 1480 542 0 3288 7 65437 0 0 1385 4 6 12 174 0 6 0 32 146 1248 0 667 1981 10 18 170 118 0 36 12 40 0
CK_S50_2 X50 Landrace CK Rhizosphere 2 P05 19 80 30 36 0 32 16 6438 0 0 9 0 223 0 5 113 2 0 17 0 27 221 39 0 2 9 230 5 4 13 0 475 14 0 0 0 0 22 0 4005 1271 0 5 0 5 10 0 0 3 0 2 5 6 1030 19 0 13 973 1297 6 8304 0 62279 0 2 458 5 31 0 52 0 7 1657 76 68 15323 0 176 1101 11 7 704 223 87 6 6 0 26
CK_S50_3 X50 Landrace CK Rhizosphere 3 P05 0 21 13 0 17 22 0 4272 0 0 0 0 20 0 0 0 0 0 11 0 0 20 0 0 0 0 57 0 0 3 0 156 3 0 0 0 0 0 0 17767 30 0 0 0 0 0 0 0 0 0 7 0 0 735 6 0 7 106 575 0 5223 0 49134 0 0 233 0 0 5 3 0 4 13 6 146 239 0 128 1353 6 7 37 99 22 16 0 0 20
CK_S51_1 X51 Landrace CK Rhizosphere 1 P14 53 169 82 156 31 0 0 4260 0 12 7 0 413 7 10 202 4 0 205 5 36 513 0 7 3 16 664 0 0 0 0 3113 35 0 0 4 12 0 7 400 199 0 8 15 124 0 0 17 8 0 12 20 0 19 30 0 32 2879 1047 5 7217 3 5198 0 0 1865 10 21 13 221 7 7 3 76 66 994 0 628 3552 26 24 102 126 0 115 19 50 0
CK_S51_2 X51 Landrace CK Rhizosphere 2 P14 7 49 16 0 21 53 7 1932 0 4 0 0 125 0 0 50 0 5 20 0 21 98 111 61 0 16 259 8 8 0 6 194 193 2 13 0 2 4 0 1185 62 0 0 5 0 8 0 0 0 0 5 0 0 147 21 0 19 478 977 0 4096 2 71888 0 0 556 0 22 0 36 0 5 438 68 39 845 0 157 1761 7 0 52 3708 36 25 0 70 17
CK_S51_3 X51 Landrace CK Rhizosphere 3 P14 0 18 8 8 0 12 5 509 0 2 0 0 30 0 0 4 0 0 10 0 2 40 0 0 0 0 33 34 0 0 0 87 0 0 0 0 0 3 6 3042 5 0 0 0 0 0 0 0 0 3 0 0 2 21368 9 0 6 178 615 4 3308 0 63290 0 0 591 0 0 2 2 0 2 9 5 46 1135 0 66 639 4 0 0 29 3 14 0 5 19
CK_S52_1 X52 Landrace CK Rhizosphere 1 P08 37 63 3 44 0 0 0 392 0 0 6 0 178 0 3 46 0 0 98 0 8 139 7 0 0 0 140 0 7 5 0 467 0 0 0 0 3 21 42 286 10 0 0 34 7 0 0 9 6 0 50 0 0 143 21 0 6 2145 780 0 2378 0 65266 0 0 274 5 6 4 7 0 5 0 32 36 117 0 196 2635 6 0 36 20 0 39 4 32 0
CK_S52_2 X52 Landrace CK Rhizosphere 2 P08 0 112 183 64 17 33 433 8729 0 0 4 0 152 4 5 38 0 67 17 0 35 131 0 0 0 5 361 0 3 4 13 302 67 3 0 0 3 0 0 1013 61 0 0 3 51 3 0 7 0 0 5 0 0 58 28 0 39 634 1707 7 7170 5 50484 0 0 3662 5 20 5 86 0 11 16834 330 69 638 0 597 1043 11 4 52 725 38 22 10 4 278
CK_S52_3 X52 Landrace CK Rhizosphere 3 P08 0 40 0 0 31 17 8 252 0 0 0 0 22 0 0 0 0 0 46 3 0 121 4 0 0 0 173 8 0 0 0 258 0 0 0 0 0 2 0 5780 103 0 0 0 35 0 0 0 0 0 0 0 65 57 7 0 14 1044 677 0 7039 0 90006 0 0 408 0 0 3 22 0 0 3 7 363 283 0 835 1784 5 7 14 55 11 21 5 7 38
CK_S53_1 X53 Landrace CK Rhizosphere 1 P11 86 88 30 92 33 17 0 4388 0 5 7 0 157 4 10 37 0 0 110 2 12 550 0 0 3 170 517 0 0 5 0 2250 11 0 0 0 3 0 0 458 140 0 0 6 50 0 0 11 4 0 7 12 0 23 39 0 15 23727 932 0 1859 0 64376 0 5 1011 4 7 14 137 0 7 0 37 53 228 0 1145 1524 13 21 38 34 0 53 18 7 0
CK_S53_2 X53 Landrace CK Rhizosphere 2 P11 14 67 31 21 0 16 4 10680 0 0 3 6 262 6 0 44 0 0 26 0 30 181 107 0 0 1000 222 0 7 13 11 229 31 0 0 0 0 0 0 21974 155 0 0 39 53 7 0 10 7 0 6 10 0 362 20 0 21 2529 1050 0 12716 0 33257 0 0 554 4 669 0 35 0 16 163 112 411 1191 0 239 1148 11 41 194 499 58 13 4 29 45
CK_S53_3 X53 Landrace CK Rhizosphere 3 P11 190 125 38 253 118 9 12 9610 25 14 46 0 198 26 5 95 8 0 21 0 10 155 11 5 2 77 379 31 18 17 3 918 26 0 7 0 0 0 0 10793 3 0 5 0 40 3 5 0 0 4 0 21 0 271 72 0 81 2866 1353 0 10988 3 44426 10 14 2023 0 243 0 201 52 8 67 127 409 898 11 631 1760 102 72 213 720 0 0 8 31 0
CK_S54_1 X54 Landrace CK Rhizosphere 1 P08 73 99 14 74 24 0 26 1949 0 7 5 0 214 0 0 113 0 0 257 4 26 250 0 0 0 172 395 0 14 8 0 1987 11 6 0 0 2 0 15 14237 76 0 0 4 54 9 0 0 4 0 17 12 17 290 82 0 30 4262 458 0 10123 0 58592 0 0 974 8 5 6 157 5 4 6 32 89 575 5 647 2791 20 16 28 59 0 87 14 67 0
CK_S54_2 X54 Landrace CK Rhizosphere 2 P08 16 39 12 0 25 22 10 3134 0 2 6 0 134 9 0 11 2 0 10 0 17 38 0 0 0 88 88 4 5 0 0 121 14 0 10 0 0 3 0 6021 66 0 0 0 6 6 0 0 3 0 3 0 0 52 11 0 9 378 5123 8 2352 0 69991 0 0 375 4 12 0 25 0 3 117 25 61 930 0 151 798 3 19 86 98 57 0 2 0 23
