Genotype Germplasm Treatment Compartment Block Plot Apodus Schizothecium Dichotomopilus Trichocladium Humicola Chaetomium Botryotrichum Botryoderma Gelasinospora Nigrospora Truncatella Ophiosphaerella Fusidium Chaetosphaeria Chloridium Myrmecridium Seychellomyces Cephalotrichum Phaeoacremonium Kernia Periconia Exophiala Cladosporium Mycosphaerella Neobulgaria Minimedusa Solicoccozyma Phlyctochytrium Scutellinia Byssonectria Ochroconis Mortierella Udeniozyma Mrakia Tausonia Rhizophydium Geastrum Waitea Thanatephorus Rhizopus Clitopilus Tubaria Ganoderma Sistotrema Syncephalis Setophoma Paraphoma Setophaeosphaeria Leucothecium Setosphaeria Paraphaeosphaeria Neoroussoella Simplicillium Sarocladium Paramyrothecium Achroiostachys Monocillium Clonostachys Acremonium Aspergillus Penicillium Arachnomyces Talaromyces Gymnoascus Ciliolarina Pseudeurotium Chrysosporium Pseudogymnoascus Remersonia Tetracladium Colletotrichum Striatibotrys Hydropisphaera Gliomastix Metacordyceps Trichoderma Volutella Fusicolla Fusarium Nectria Thelonectria Metarhizium Emericellopsis Lecanicillium Scytalidium Valsonectria Niesslia Purpureocillium
CK_S102_1 X102 Inbred_line CK Rhizosphere 1 P14 14 141 42 139 36 0 0 245 0 7 17 0 218 12 33 142 0 0 172 0 0 632 5 8 0 14 853 0 10 80 8 1370 13 6 0 2 0 470 0 8 39 0 0 0 83 0 14 19 5 0 12 30 0 1323 18 0 42 1158 679 17 4648 3 45055 2 2 2360 10 4 56 294 0 8 5 214 36 1962 0 616 2891 16 44 256 42 0 243 90 0 34
CK_S102_2 X102 Inbred_line CK Rhizosphere 2 P14 0 132 34 0 0 0 19 1012 0 0 0 0 83 5 0 20 0 0 52 0 6 222 0 7 0 0 548 8 0 28 0 342 6 0 6 0 0 13 0 3143 8 0 2 0 27 0 0 0 0 0 3 0 0 301 22 0 19 309 1197 8 7082 0 93452 0 3 858 4 3 0 24 9 11 45 52 78 578 0 163 713 5 0 14 158 0 9 2 0 95
CK_S102_3 X102 Inbred_line CK Rhizosphere 3 P14 3 11 7 13 0 24 0 271 4 0 0 0 16 0 2 27 0 0 0 0 0 17 0 3 0 0 126 3 0 3 0 134 0 0 0 0 0 0 0 279 0 0 0 0 9 0 0 6 0 0 0 0 0 94 95 2 7 255 8385 0 1828 0 71033 0 0 150 0 4 0 10 0 2 9 6 27 124 0 81 267 4 0 8 204 40 21 0 8 0
CK_S103_1 X103 Inbred_line CK Rhizosphere 1 P08 26 208 74 78 22 15 11 323 2 18 20 0 120 7 22 131 0 0 192 0 3 354 17 5 0 19 950 24 24 29 8 2692 10 0 4 3 4 5 4 61 0 0 0 0 204 16 8 18 14 2 7 31 0 663 35 0 38 2357 3981 5 10462 12 12404 3 0 4239 4 8 23 244 0 11 14 72 159 3860 11 826 3708 35 15 162 102 0 49 25 31 29
CK_S103_2 X103 Inbred_line CK Rhizosphere 2 P08 48 89 22 24 48 31 42 1819 0 0 8 0 109 13 6 21 0 0 27 0 5 261 0 0 0 0 188 0 4 0 0 216 7 0 0 4 2 15 0 2816 34 0 0 0 30 0 0 5 0 0 0 0 4 1130 21 0 18 6044 9855 0 1940 0 73391 0 2 745 4 0 0 27 0 2 75 801 139 1646 0 167 474 9 0 48 347 0 19 7 24 10
CK_S103_3 X103 Inbred_line CK Rhizosphere 3 P08 0 19 14 23 0 7 0 402 0 2 0 0 19 0 0 20 0 0 15 0 0 46 0 0 0 0 166 0 0 0 6 184 7 0 0 0 0 0 38 663 37 0 0 0 5 12 0 0 0 0 0 2 5 300 118 5 9 233 37840 0 3134 0 65052 0 0 250 0 38 0 16 0 0 4 55 33 161 0 103 506 6 0 14 216 29 15 3 8 28
CK_S104_1 X104 Inbred_line CK Rhizosphere 1 P14 9 220 69 155 19 0 0 164 0 8 5 0 440 7 5 1444 0 0 97 3 0 839 14 4 7 0 1070 0 11 49 17 2715 5 0 8 5 3 0 253 100 2 0 5 3 183 0 20 18 9 0 17 37 0 606 55 0 50 12581 447 26 2211 3 6845 2 12 2972 8 141 120 289 0 35 0 65 41 1237 11 1118 4031 67 15 68 116 0 53 185 6 4
CK_S104_2 X104 Inbred_line CK Rhizosphere 2 P14 36 88 70 36 25 0 11 1329 4 4 3 0 110 3 3 32 0 0 20 0 0 385 0 0 0 71 209 0 0 10 0 379 22 0 0 0 0 15 0 1177 17 0 4 0 12 0 0 6 0 0 4 5 0 10176 39 0 20 592 1500 0 2166 0 85170 0 0 400 0 8 4 20 0 6 2279 87 54 332 0 155 1259 15 0 14 249 0 28 10 7 8
CK_S104_3 X104 Inbred_line CK Rhizosphere 3 P14 0 17 5 27 0 8 0 241 0 0 0 0 58 0 0 47 0 0 15 0 0 25 0 0 0 0 202 0 0 0 0 203 0 0 0 0 0 0 0 2306 6 0 0 6 0 12 0 0 0 0 0 0 3 655 24941 0 10 351 1323 0 9816 0 70629 0 0 198 0 0 0 9 0 3 8 32 27 316 0 97 610 2 5 46 90 12 44 5 0 12
CK_S105_1 X105 Inbred_line CK Rhizosphere 1 P05 86 179 51 110 24 0 16 3326 0 0 7 0 160 3 15 66 0 0 135 0 0 239 0 0 0 0 386 0 17 5 0 5016 0 3 0 2 0 0 6 89 3 0 2 347 58 0 20 11 0 0 7 2 0 497 24 0 35 4337 375 19 12029 5 38595 0 0 1311 5 2 20 195 0 9 5 158 56 640 0 527 1808 31 13 46 72 0 153 23 7 0
CK_S105_2 X105 Inbred_line CK Rhizosphere 2 P05 8 56 24 76 9 9 8 2353 0 0 7 4 129 7 3 39 0 0 27 0 10 42 7 0 0 8 192 0 0 5 0 140 12 0 0 0 3 387 0 10430 243 0 0 0 18 0 0 3 0 0 0 5 0 375 26 0 21 848 1444 7 4296 0 77060 0 0 523 0 0 0 23 3 0 99 183 427 407 0 184 1108 19 0 108 8467 0 14 7 12 4
CK_S105_3 X105 Inbred_line CK Rhizosphere 3 P05 0 57 40 22 0 15 0 215 0 0 0 0 22 0 0 35 0 0 13 0 0 88 0 0 2 0 189 15 5 7 0 236 0 0 0 0 0 0 0 12407 175 0 0 0 33 4 0 12 2 6 0 2 7 1361 102 132 0 253 3014 0 5522 0 86594 0 0 495 0 3 3 32 0 4 85 10 332 596 0 140 523 6 4 22 55 13 32 12 5 15
CK_S106_1 X106 Inbred_line CK Rhizosphere 1 P05 148 509 73 179 44 0 35 750 0 0 21 0 206 9 10 300 0 0 270 13 2 678 5 8 0 6 649 47 33 29 0 6126 15 7 25 0 3 0 4 23 6 0 8 0 183 0 0 28 0 2 24 34 0 431 37 0 38 2756 3037 8 4495 5 5282 0 4 2578 12 11 57 384 0 26 4 51 133 2087 0 866 5056 3 33 86 73 0 13 7 18 9
CK_S106_2 X106 Inbred_line CK Rhizosphere 2 P05 27 47 9 40 0 42 5 2508 0 0 2 0 99 0 5 33 0 0 25 0 10 58 0 0 0 0 104 0 2 0 0 169 9 0 0 0 0 392 0 1848 10 0 0 0 2 0 0 0 0 0 0 3 0 146 23 0 6 258 10206 0 2395 0 80045 0 0 400 0 0 0 26 0 3 132 77 25 317 0 134 504 4 0 28 4209 7 32 4 113 6
CK_S106_3 X106 Inbred_line CK Rhizosphere 3 P05 77 82 17 52 0 28 4 969 0 3 0 0 131 0 7 77 0 0 39 0 2 846 0 0 0 0 898 92 0 4 0 302 12 0 4 0 0 0 0 8506 175 0 0 2 45 0 0 15 0 0 4 0 0 341 142 0 8 186 732 0 4094 0 86653 0 0 363 0 5 0 54 0 2 0 16 292 706 0 321 3984 15 34 24 58 19 8 9 0 12
