Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_R103_3 X103 Inbred_line CK Root 3 P08 154 3 8660 0 0 0 3604 12 3413 0 0 0 147 58 0 0 0 0 0 0 0 0 0 59 0 0 0 6438 0 69 0 0 17 0 81 0 29 2 0 0 343 4707 1002 0 31443 0 0 0 0 0 0 76 148 101 5139 4 647 19 0
CK_R104_1 X104 Inbred_line CK Root 1 P14 38 56 2598 0 0 0 18972 5 71 0 0 0 413 172 17 0 0 0 0 0 0 0 0 0 0 0 0 12806 0 27 0 0 0 0 158 0 0 0 0 48 946 245 455 0 1699 0 0 5 0 0 0 0 0 93 18764 0 117 27 0
CK_R104_2 X104 Inbred_line CK Root 2 P14 23 363 10618 0 0 0 1093 0 35 0 0 0 15 29 0 0 0 0 0 0 0 0 0 2 0 0 0 20 0 7 0 0 12 0 19 0 0 0 0 45 91 4439 590 0 46757 0 0 0 0 0 0 0 52 24 2899 0 281 27 0
CK_R104_3 X104 Inbred_line CK Root 3 P14 63 0 1616 0 0 0 5391 11 150 0 0 0 368 31 0 0 0 0 0 0 0 38 10 4 0 0 0 341 12 154 0 0 8 0 298 0 50 38 0 8 544 11188 1729 0 39522 0 0 0 0 0 0 179 343 159 6330 19 8151 22 0
CK_R105_1 X105 Inbred_line CK Root 1 P05 23 23 4337 0 0 0 8823 9 70 0 0 0 912 231 0 0 0 0 0 0 0 17 0 0 0 0 0 742 0 6 24 0 7 0 602 0 36 0 0 0 759 944 984 0 29243 0 0 0 0 0 0 0 60 56 8919 2 360 60 0
CK_R105_2 X105 Inbred_line CK Root 2 P05 26 161 2983 0 0 0 311 0 32 0 0 0 31 13 0 0 0 0 0 0 0 0 0 0 0 0 0 195 16 3154 5 0 20 0 25 0 0 9 0 0 769 3841 16328 0 18123 0 0 5 0 0 0 0 189 42 3422 0 55 5 2
CK_R105_3 X105 Inbred_line CK Root 3 P05 70 3 1126 0 0 0 1216 2 221 0 0 0 71 37 0 0 0 0 0 0 0 0 0 0 0 0 0 79 172 11673 0 0 0 0 17 0 13 0 0 3 2335 2405 2262 0 49256 0 0 0 0 0 0 2 1139 69 3927 10 459 9 0
CK_R106_1 X106 Inbred_line CK Root 1 P05 50 35 2890 0 0 0 7691 3 2169 0 0 0 366 499 0 0 0 0 0 0 0 0 5 0 2 0 0 856 0 510 0 0 0 0 164 0 0 0 0 0 27669 702 1976 0 1246 0 0 10 3 0 2 0 112 48 13106 0 27 58 0
CK_R106_2 X106 Inbred_line CK Root 2 P05 61 436 11541 0 0 0 1398 0 48 0 0 0 0 8 0 0 0 0 0 0 0 0 0 3 0 0 0 12404 0 44 0 0 21 0 5 0 0 2 0 0 146 874 1107 0 31751 0 0 0 0 0 0 0 39 9 553 0 30 5 0
CK_R106_3 X106 Inbred_line CK Root 3 P05 83 0 7398 0 0 0 1121 5 150 0 0 0 208 51 0 0 0 0 0 0 0 0 17 2 0 0 0 57 190 3789 0 0 0 0 405 0 46 0 0 0 463 2030 1041 0 42922 0 0 0 0 0 0 52 2428 95 12710 58 267 24 0
CK_R107_1 X107 Inbred_line CK Root 1 P08 56 8 3099 0 0 0 4056 9 69 0 0 0 149 109 0 0 0 0 0 0 0 0 4 0 0 0 0 17654 0 1727 0 0 12 0 298 0 0 0 0 5 686 569 3393 0 36302 0 0 0 0 0 0 0 19 91 8769 0 74 184 20
CK_R107_2 X107 Inbred_line CK Root 2 P08 30 229 10417 0 0 0 1461 0 133 0 0 0 40 14 0 0 0 0 0 0 0 0 0 0 0 0 0 69 2 12 0 0 9 0 13 0 0 0 0 12 116 1708 275 0 38563 0 0 5 0 0 0 0 7 18 717 22 22 0 0
CK_R107_3 X107 Inbred_line CK Root 3 P08 164 0 4041 0 0 0 1413 0 196 0 0 0 271 26 0 0 0 0 0 0 0 12 0 0 0 0 0 212 42 83 0 0 0 0 54 0 2039 0 0 53 432 10411 638 0 59970 0 0 0 0 0 0 0 340 180 6187 6 1232 31 0
CK_R108_1 X108 Inbred_line CK Root 1 P05 44 171 4699 0 0 0 5148 7 319 0 0 2 227 484 0 0 0 0 0 0 0 0 46 0 0 0 0 252 0 2230 0 0 0 0 89 0 0 6 0 10 5057 686 4510 0 5146 0 0 0 0 0 0 0 4 64 19628 0 137 129 28
CK_R108_2 X108 Inbred_line CK Root 2 P05 0 46 9893 0 0 0 476 2 18 0 0 0 28 16 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 18 0 0 5 0 8 0 0 2 0 79 571 22733 4695 0 23999 0 0 0 0 0 0 0 0 0 1360 326 8 0 2
CK_R108_3 X108 Inbred_line CK Root 3 P05 80 6 2062 0 0 0 1557 8 1544 0 0 0 124 40 0 0 0 0 0 0 0 2 0 0 0 0 0 94 66 86 0 0 23 0 72 0 26 0 2 2 253 5712 510 0 18473 0 0 0 0 0 0 199 115 65 4595 11 409 30 0
CK_R109_1 X109 Hybrid CK Root 1 P08 64 66 39718 0 0 0 2519 10 369 0 0 3 746 75 0 0 0 0 0 0 0 0 0 3 0 0 0 240 0 54 0 0 0 0 88 0 0 0 0 15 2791 2184 669 0 15748 0 0 35 0 0 0 0 19 45 10517 0 109 24 0
CK_R109_2 X109 Hybrid CK Root 2 P08 64 63 15829 0 0 0 1099 3 24 0 0 0 27 28 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 10 0 0 2638 0 63 0 0 0 0 0 3449 17315 331 0 2456 0 0 26 0 0 0 0 31 23 613 0 0 9 3
CK_R109_3 X109 Hybrid CK Root 3 P08 223 5 3589 0 0 0 2887 6 488 0 0 0 189 79 0 0 0 0 0 0 0 0 4 3 0 0 0 83 8 77 0 0 25 0 136 0 23 0 19 0 220 6314 948 0 44137 0 0 0 0 0 0 42 137 70 6938 15 352 15 0
CK_R11_1 X11 Landrace CK Root 1 P05 66 614 1077 5 0 6 3026 7 1087 0 0 6 112 202 0 0 0 11 0 0 0 0 111 0 0 0 0 109 1897 30 0 0 3714 0 8 0 46 0 0 45 921 1727 19194 0 9989 0 0 95 0 0 0 0 50 235 4821 0 36 25 0
CK_R11_2 X11 Landrace CK Root 2 P05 59 0 1110 0 0 0 3357 6 28 0 0 0 46 28 0 0 0 0 0 0 0 2 0 5 0 0 0 158 7 670 0 0 8 0 33 0 42 0 0 0 205 7360 19583 0 16864 0 0 2 0 0 0 0 55 521 3780 0 26 5 11
CK_R11_3 X11 Landrace CK Root 3 P05 108 173 4575 0 0 0 1875 0 192 0 0 0 162 15 0 0 0 0 0 0 0 0 8 0 0 0 0 112 19 52 0 0 0 0 23 0 30 0 0 0 281 10727 2252 0 62385 0 0 0 0 0 0 150 145 21 4501 0 6705 5 0
CK_R110_1 X110 Hybrid CK Root 1 P11 44 10 3736 0 0 0 3782 0 272 0 0 0 415 61 0 0 0 0 0 0 0 0 0 0 0 0 0 667 3 17 0 0 3 0 60 0 12 0 0 16 581 35561 858 0 1595 0 0 0 0 0 0 0 75 244 14619 0 253 82 23
CK_R110_2 X110 Hybrid CK Root 2 P11 59 0 23508 0 0 0 6110 0 271 0 0 0 54 43 0 0 0 0 0 0 0 0 0 0 0 0 0 2184 0 6 0 0 4504 0 35 0 2 0 0 2 103 1047 309 0 1582 0 0 0 0 0 0 0 9 54 1512 0 18 15 0
CK_R110_3 X110 Hybrid CK Root 3 P11 101 0 1512 0 0 0 1405 3 141 0 0 0 126 32 0 0 0 0 0 0 0 0 0 3 0 0 0 15325 0 99 0 0 786 0 26 0 28 0 0 0 174 4470 11889 0 42602 0 0 0 0 0 0 66 180 2042 4089 86 7588 142 0
CK_R111_1 X111 Hybrid CK Root 1 P11 126 0 3789 0 0 0 9005 9 947 0 0 0 598 140 4 0 0 0 0 0 0 0 20 0 0 0 0 348 439 122 463 0 15 0 696 0 20 0 0 9 1132 1100 1892 0 1425 0 0 0 0 0 0 0 139 199 14941 11 363 21 6
CK_R111_2 X111 Hybrid CK Root 2 P11 32 793 11077 0 0 0 819 4 187 0 0 0 13 35 0 0 0 0 0 0 0 0 0 0 0 0 0 35 0 26 0 0 19 0 14 0 0 4 0 0 154 894 441 0 25473 0 0 0 0 0 0 0 41 9 1392 2 6 2 0
CK_R111_3 X111 Hybrid CK Root 3 P11 57 0 638 0 0 0 2156 0 112 0 0 0 160 18 0 0 0 0 0 0 0 0 13 0 0 0 0 121 32 49 0 0 5 0 45 0 15 0 0 0 272 11116 11982 0 44995 0 0 0 0 0 0 8 124 67 2621 0 196 27 0
CK_R112_1 X112 Hybrid CK Root 1 P08 126 177 13088 0 0 0 7743 5 179 0 0 0 253 105 0 0 0 0 0 0 0 0 23 0 0 0 0 4989 2 226 0 0 4376 0 26 0 3 0 0 88 815 1131 3351 0 1487 0 0 0 0 0 0 2 64 80 5108 0 109 33 6
CK_R112_2 X112 Hybrid CK Root 2 P08 5 0 9356 0 0 0 1615 6 190 0 0 0 16 72 0 0 0 0 0 0 0 0 0 0 0 0 0 136 0 7 3 0 9 0 53 0 4 605 0 0 134 11241 974 0 4041 0 0 64 0 0 0 0 7 5 4089 0 16 0 0
CK_R112_3 X112 Hybrid CK Root 3 P08 142 2060 2572 0 0 0 7006 0 113 0 0 0 711 35 0 0 0 0 0 0 0 0 0 24 0 0 0 202 0 11 0 0 9 0 642 0 11 0 0 0 750 12958 4789 0 33507 0 0 0 0 0 0 43 123 30 2947 10 66 19 0
CK_R113_1 X113 Hybrid CK Root 1 P05 30 128 5139 0 0 0 6308 7 1371 0 0 0 219 95 0 0 0 0 0 0 0 0 0 0 0 0 0 279 2 2491 0 0 6 0 771 0 60 57 0 184 323 491 2626 0 2480 0 0 0 0 0 0 0 23 52 8076 0 599 46 0
CK_R113_2 X113 Hybrid CK Root 2 P05 38 0 31575 0 0 0 2547 34 142 0 0 0 39 69 0 0 0 0 0 0 0 2 2 0 0 0 0 104 0 0 7 0 9 0 193 0 57 0 0 44 50 2694 413 0 5863 0 0 3 0 0 0 0 74 0 2732 0 88 5 0
CK_R113_3 X113 Hybrid CK Root 3 P05 58 284 10248 0 0 0 1821 0 220 0 0 0 96 13 3 0 0 0 0 0 0 0 12 0 0 0 0 7 0 34 0 0 169 0 32 0 4 0 0 0 266 8186 9689 0 27838 0 0 0 0 0 0 40 19 21 2062 5 16 0 0
CK_R114_1 X114 Hybrid CK Root 1 P14 73 0 5923 0 0 0 5054 29 747 0 0 0 444 111 0 0 0 0 0 0 0 0 17 0 0 0 0 2476 33 2531 41 0 31 0 41 0 3 0 0 352 1096 1750 1186 0 5464 0 0 0 0 0 0 174 145 343 10979 0 2408 51 5
CK_R114_2 X114 Hybrid CK Root 2 P14 13 2 20634 0 0 0 3218 0 315 0 0 0 15 39 0 0 0 0 0 0 0 0 0 4 0 0 0 12 2 3 0 0 120 0 14 0 37 0 0 41 762 3419 200 0 1802 0 0 3 0 0 0 0 7 0 1787 7 63 16 0
CK_R114_3 X114 Hybrid CK Root 3 P14 116 97 2189 0 0 0 3831 3 271 0 0 0 257 33 0 0 0 0 0 0 0 0 7 0 0 0 0 4 6 156 2 0 49 0 61 0 14 0 0 4 306 9188 4262 0 60828 0 0 0 0 0 0 963 445 20 2544 37 13 22 0
CK_R115_1 X115 Hybrid CK Root 1 P11 108 74 3166 0 0 0 4366 118 642 0 0 0 291 227 0 0 0 0 0 0 0 0 2 0 0 0 0 22024 0 33 0 0 11 0 101 0 68 0 12 14 1108 784 3269 0 1653 0 0 0 0 0 0 0 25 1031 18164 0 224 31 3
CK_R115_2 X115 Hybrid CK Root 2 P11 33 398 24944 0 0 0 2654 0 1195 0 0 0 34 65 0 0 0 0 0 0 0 0 3 0 0 0 0 16 0 0 14 0 2 0 14 0 39 0 0 20 237 1689 732 0 1841 0 0 215 0 0 0 6 85 18 6486 51 49 0 6
CK_R115_3 X115 Hybrid CK Root 3 P11 124 89 3545 0 0 0 2909 4 291 0 0 0 1079 14 0 0 0 0 0 0 0 0 3 0 0 0 0 33 0 13 0 0 24 0 97 0 20 0 0 0 341 3992 12134 0 30110 0 0 0 0 0 0 21 44 11 6787 3 43 10 0
CK_R116_1 X116 Hybrid CK Root 1 P08 57 7 7224 0 0 0 8358 7 108 0 0 0 620 222 4 0 0 0 0 0 0 0 75 0 0 0 0 183 3 25 0 0 0 0 71 0 514 119 0 4 309 883 708 0 32525 0 0 13 0 0 0 0 196 38 10957 0 84 93 4
CK_R116_2 X116 Hybrid CK Root 2 P08 49 46 16232 0 0 0 1104 0 533 0 3 0 43 25 0 0 0 0 0 0 0 0 4 0 0 0 0 17 7 0 0 0 0 0 63 0 202 2 0 71 53 3719 1495 0 15319 0 0 0 0 0 0 5 121 8 6370 92 1890 8 3
