X1 X10 X100 X101 X103 X104 X105 X106 X107 X108 X11 X110 X117 X119 X12 X120 X121 X122 X123 X124 X125 X126 X127 X128 X129 X13 X14 X15 X16 X17 X19 X2 X21 X23 X24 X25 X26 X27 X28 X29 X3 X30 X31 X32 X33 X34 X35 X36 X37 X38 X39 X4 X40 X41 X42 X43 X44 X45 X46 X47 X48 X49 X50 X51 X52 X53 X54 X55 X56 X57 X58 X6 X61 X62 X63 X64 X65 X66 X67 X68 X69 X7 X70 X71 X72 X73 X74 X75 X76 X77 X78 X79 X8 X80 X81 X82 X83 X84 X85 X86 X87 X88 X89 X9 X90 X91 X92 X93 X94 X95 X96 X97 X99 X102 X109 X111 X112 X113 X114 X115 X116 X118 X18 X20 X22 X5 X59 X60 X98
X1 1.41200387641197 0.0750171780539357 0.0043219293583868 -0.00348194531683811 0.013093779088163 0.0206748303247545 -0.0359891845612346 -0.0798696613666321 -0.0782186306641544 -0.0701899108210963 0.0807198984633573 -0.034474476169889 -0.0788946102599126 -0.0556767834180596 0.0785643019186223 -0.0479051120006548 -0.0356423135958427 -0.0228821698101671 -0.0394306008711053 -0.032905325499626 -0.0555007485692567 -0.0361718622345199 -0.0324975138400646 -0.0472427068723206 -0.0628334159338759 0.0863095464473274 0.134722306870065 0.082944378209781 0.0390465722970287 -0.0810844317916498 -0.020219841284773 0.110800918269929 0.00845044477456133 -0.00516590132327686 -0.0103714207610651 0.0103315193770675 -0.015503435901853 -0.00286762846139159 -0.0120470010322823 -0.0111848779417698 0.0195235999600009 -0.0435664811578997 -0.0224459095327116 -0.00358967460084624 -0.0146372693529612 -0.00848673592785546 -0.0037683088157468 -0.00531637573873828 -0.044615469789299 -0.0453848821554979 -0.0213300594288013 0.458514800327135 -0.0441722778689027 -0.0338136595430646 -0.0470032763724736 -0.0339323639283854 -0.0429429221118665 -0.0346471896064463 -0.0460664937111507 -0.0456497286794527 -0.0399280906611882 -0.0204052627333895 -0.0369502279728514 -0.041251890053266 -0.0356166087532778 -0.0306844559838891 -0.0317010969482392 -0.011081914162285 -0.0231455722418427 -0.0358792891388134 -0.0180656888323225 0.0532961528591746 -0.0256405304721127 -0.0371759395960489 -0.0446624027883654 -0.0416363074179116 -0.022291391658862 -0.046557773904428 -0.0188329350601093 -0.025765300045015 -0.0393001993383202 0.0328447735960286 -0.0304424261179474 -0.0489294066540875 -0.0393234492240108 -0.0198572297135388 -0.0304417040718104 -0.0327316011984714 -0.0292194243669348 -0.0312334998683328 -0.0305848136166486 -0.0409780901571802 0.0213820023137296 -0.0320725174823818 0.0053306278151994 -0.0266822986421229 -0.0281437200283703 -0.0192122981017726 -0.0205763876684355 -0.0443179867798436 -0.0111171500138935 -0.0256081828050674 0.0210601141447628 0.0546092659683902 0.0258501682339115 -0.013475497114581 -0.0225384758477885 -0.00118323922727474 0.00481869710232745 0.0406430163113692 0.0214800561794668 0.0099533116092176 -0.0142060633984801 -0.0339843512504269 -0.0440597830803738 -0.0370595457583618 -0.035396240271517 -0.0343943290484071 -0.0270183389154229 -0.0380955375592529 -0.0754643134605791 -0.0700472345039318 -0.0260168609199985 0.0169292881809488 -0.0135582436021572 0.399662408001731 -0.0271978395856908 -0.0284400477640081 -0.0730981682615971
X10 0.0750171780539357 1.28898252162728 -0.0422670869253376 -0.0508161132164819 -0.00868168838551308 0.000464181244504994 -0.00603250109985349 -0.0642757753020507 -0.0632767522635014 -0.0322787338598041 0.182080735519999 -0.0861305234418345 -0.0648841713791553 -0.0682309996447565 0.315188786054735 -0.0636634801757746 -0.054288144282658 -0.0568967525752833 -0.0347718147701225 -0.0414357230003568 -0.059914183392064 -0.0626604136788456 -0.0738145824411684 -0.0608215065708994 -0.069221502538862 0.146519385514915 0.15124763245452 0.218172356209916 0.0232695753314879 -0.0650620835479164 -0.0251548822387252 0.133622775008881 -0.0185224552201392 -0.0222096560358901 -0.0212117882711754 -0.0136421453635511 -0.040371282581597 -0.000164865352194941 -0.0229432549135679 0.0105937665349217 -0.00743067124425442 -0.0276931632373323 -0.022425692240804 -0.020465770199876 -0.035984274647494 -0.0188427548876067 -0.0295675950153869 -0.0226023047265194 -0.0233770602341455 -0.0295115642349559 -0.015050568563215 0.0666411540178138 -0.0267713991357254 -0.00659540827017406 -0.0112157815165348 -0.0200523265804097 -0.0178110953635463 -0.0148245681215329 -0.0205993487356575 -0.0109427036665928 -0.0186151659444399 -0.00179351262436601 -0.00986237823273655 0.00526578807186998 -0.0135957900014311 0.000781159499753354 -0.0134432938567474 0.004046252142349 0.0100525207487652 -0.00445093123599877 -0.0193867444490848 0.141002086554111 -0.00756901528462865 -0.0245999175759563 -0.0210767656430736 -0.012704207428411 -0.00986439996195405 0.000388366399921304 -0.0291330676486508 -0.0362703493279335 0.00684490297887212 -0.00843503742428421 -0.000672030560537945 0.00597122715011922 -0.00612535623337928 0.0223013114584881 -0.0145497573608693 -0.00566238024876352 -0.00958309078600196 -0.00872833256612367 -0.0062726536458358 -0.0267254770012631 0.0601501036333321 -0.00222760676337762 -0.00614311856840719 0.000629096582742862 -0.0119164550902627 -0.0161369591845953 -0.0191031247254977 -0.0316860783885428 -0.00107464348790361 0.00544759928980626 -0.00343515672698794 0.18573891008096 -0.0166218853718583 -0.0199567276715556 -0.011117438832341 -0.0354586250579638 -0.00710214025085904 0.000872137313291501 0.00141843742240094 -0.0131634287731055 -0.0334107577972451 -0.0685391689370753 -0.0790430629461719 -0.0895352598078242 -0.0848727190669051 -0.0674402147128194 -0.0635291795938502 -0.0723895521803317 -0.0966250308511327 -0.0818749279051134 -0.0175764303682199 0.00238179138167982 -0.02885089201737 0.0648301178908366 -0.00959204415813566 -0.0261843756243471 -0.120786283178813
X100 0.00432192935838674 -0.0422670869253376 2.12647907327547 0.57477693679137 0.116001816612412 0.157114690565273 -0.0199099390817193 -0.0991664888527997 -0.0989126174301683 -0.099509027541356 -0.0273990016401395 0.897116673416062 -0.0993277939603529 -0.0490982210414894 -0.0475872672900626 -0.0485731490888772 -0.0406508588467826 -0.0421417397155291 -0.0594539511827728 -0.0368334009074871 -0.0525361715298878 -0.0339710656014633 -0.0510678185006928 -0.0576536013386593 -0.0567019445268568 -0.0481132056980439 -0.0426211783521254 -0.0380283872682813 -0.0714381841869857 -0.0966182436174349 -0.1399444778062 -0.0478020038119392 0.0841790771082425 0.020767974276745 -0.100029189580216 -0.052631192801841 -0.115518812182266 -0.0797274182771549 -0.0456321107536468 -0.0640694145153939 -0.0502386207141437 -0.0713952946462987 -0.10986822350412 -0.129927531713543 -0.137454285080446 -0.124113038561739 -0.13841460644592 -0.137224241180413 -0.103014128320718 -0.102889358747819 -0.0875528099273453 0.0155806504016734 -0.0827499034169118 -0.110598934197247 -0.0929765317084751 -0.0891827568825458 -0.0999257925730437 -0.083116702855763 -0.0968459769698197 -0.0778563079113681 -0.0947686502266045 -0.0713710338960182 -0.0605875636217213 -0.057307308010172 -0.0763924315682394 -0.0684237859639938 -0.0531402353301565 -0.0712503077815041 -0.0601211218156312 -0.0610814431811025 -0.078215453661139 0.0119428375418745 -0.0797731960023959 -0.0661597380891146 -0.0704047917522019 -0.0758547960128072 -0.0783800801809334 -0.0821361641983803 -0.0509091127592392 -0.0664107213271913 -0.0925014253487164 0.0948626161968431 -0.0836250233379284 -0.068654696319388 -0.0823533556771327 -0.0467732324724449 -0.0662808974313154 -0.0846101830906023 -0.0748014751045662 -0.0694571783987779 -0.0620276124422473 -0.0592317053810506 -0.0377990654143932 -0.0662351197060784 -0.112940963055179 -0.069265114125683 -0.040529266276899 -0.0443026794016872 -0.0524662774635907 -0.0430486296666842 -0.0508311317761748 -0.0483885940956374 0.127526250635021 0.00537597231276176 0.129633758906851 0.0957477003545739 -0.0560863279883579 0.205952880573465 0.154131051507823 0.19368112879652 0.114533463583227 0.195256489063555 0.213272695516758 0.0606152457563739 0.0962176079821464 0.261450790944276 0.90973803993373 0.0542626838214537 0.0747160848137895 0.0317277682182965 -0.0390983152377289 -0.040108168968368 -0.0655818123590954 -0.0362719378294476 -0.0778622286897191 0.0096526515967508 -0.0611368963246133 -0.066253892905697 0.0248546110168275
X101 -0.00348194531683817 -0.050816113216482 0.57477693679137 2.1752710523307 0.144263280147573 0.169318136777454 -0.0564580373409521 -0.0983638623641856 -0.0950362405258904 -0.101705636306813 -0.0221440942464147 0.283523163790496 -0.0959730231872233 -0.0564922623279619 -0.04535022394081 -0.0491676818801044 -0.032247685875812 -0.0401468706414446 -0.0529695436227892 -0.0581058910404123 -0.0461076503411004 -0.0528590705634543 -0.048253282649102 -0.0677488172328316 -0.048783120106231 -0.0354067821451549 -0.0540576671549446 -0.0395357307890098 -0.0915743181056492 -0.0946233745433518 -0.16239058173419 -0.038933111081022 0.0918743560440941 0.00215940117072226 -0.121096763018781 -0.0731399025284539 -0.129675104383193 -0.0941445135436562 -0.0720275182460061 -0.0644404018218468 -0.0830795896841893 -0.0472880513698759 -0.130451448392327 -0.173331024839198 -0.151126228731023 -0.140746959885591 -0.168014165886714 -0.165035436743 -0.099677986337978 -0.0960882617510671 -0.108303693929142 -0.00751746119025759 -0.106127446864817 -0.110448315372558 -0.100053883558184 -0.105965708529587 -0.103072469648788 -0.108319867762664 -0.110611064572393 -0.0987189646555537 -0.112501670183938 -0.0821741438253197 -0.0430376545653657 -0.0508415292405892 -0.0593082422718312 -0.0614922874344558 -0.0618010343636874 -0.0721056436383042 -0.0659689734990741 -0.0671342115589271 -0.0720104779571203 0.0463518019083559 -0.0654646964752774 -0.0668660436227302 -0.0982532448956181 -0.0775111698567171 -0.0674992780870338 -0.0793216283467803 -0.037010446620878 -0.0678808072671231 -0.0886995636060289 0.0629530867467024 -0.0833626317708514 -0.0361086109927027 -0.0640769237952451 -0.0312538615694668 -0.0783507651076697 -0.0803798591687662 -0.0668267643127436 -0.0630659147907852 -0.0434531199140088 -0.0544611465376719 -0.0801966038585758 -0.0597879697268934 -0.118881958690615 -0.0609737138970968 -0.0592309833349128 -0.058179539746637 -0.0475094307162318 -0.0429538972131896 -0.0585977488706061 -0.0519264757697347 0.130657475923378 0.0969566944104459 0.121420050842876 0.132615665053575 -0.0575750427186811 0.249992929575702 0.127642500063475 0.178127677315719 0.13420705474493 0.208875723345955 0.500306686469621 0.10100405184059 0.259053453351979 0.996190501530607 0.286606589624422 0.0988988541163981 0.111081072172032 0.0552016326211948 -0.00338533554337957 -0.00344512096372652 -0.047715213865978 -0.0355251977120239 -0.0898389524140917 -0.00772642134301502 -0.0588439666041584 -0.0602724626864533 0.0786934037683429
X103 0.013093779088163 -0.00868168838551302 0.116001816612412 0.144263280147573 2.26781108492924 0.16294319141219 0.00609354176614928 -0.117536786732822 -0.113762073924977 -0.0953571178302687 -0.00217792998898601 0.059303143511753 -0.114382167149542 -0.0161089437943993 -0.0190875285288781 0.0104405483441174 0.021939566342617 -0.00114208259732249 0.0031178452162253 0.00235926354212024 -0.00352613454057907 -0.00280740981336144 0.00211506753775154 -0.00944460233645945 -0.00711441503520889 0.0365337073225076 -0.0244976758425832 -0.0183400663653197 -0.0840149282532477 -0.113814927702387 -0.143132311511889 -0.0307217135646893 0.136505038788361 0.0258699522981247 -0.100944310857365 -0.0339860841611604 -0.120979358316504 -0.079450296968835 -0.0469943230003454 -0.0727154838076793 -0.0327857546589286 -0.0146170520610571 -0.127083536379454 -0.160033967544243 -0.143343293393839 -0.155039141169953 -0.156300555775582 -0.159469327463185 -0.0804010873252695 -0.115186670958112 -0.0975215233378974 0.0249299926337821 -0.0952521323215819 -0.109558032482606 -0.116115799930363 -0.10690104709864 -0.114235014146309 -0.123059140016589 -0.100480901645066 -0.106286152606273 -0.103321575566907 -0.0833702854599381 -0.0656010187864067 -0.0568997851690722 -0.0732651053290353 -0.062800201811464 -0.0613764712336883 -0.0565545027051872 -0.0712261914404446 -0.0555137453997738 -0.0448349718156943 0.0497942290828167 -0.0717464978885351 -0.0468067354133198 -0.0679294731769254 -0.0582528996344108 -0.0489302731094568 -0.0694522684850293 -0.0535194539626003 -0.0291554510789803 -0.0818294389983402 0.0571742626741797 -0.0834037884008046 -0.0498046709843316 -0.0390809861303804 -0.0714214327165525 -0.074647534867634 -0.0841095162975037 -0.0417376826958891 -0.0627344956127761 -0.0576894148271777 -0.0282915950777376 -0.0537662493330625 -0.0487263672796732 -0.107298750112251 -0.0694723413677101 -0.0197045891596541 -0.0305010562644711 -0.0250842661262815 -0.0512476079894137 -0.00282704946835463 -0.0533089053083367 0.108094111702335 0.107682978630534 0.126520440362762 0.134474645044223 -0.0207311943607334 0.144401046550984 0.165753106168492 0.134439264783388 0.107899303653913 0.157046529409719 0.143151617911264 0.313368363327917 0.0720164987075958 0.0714534471280474 0.0566116443223235 0.995349606596611 0.0814946539709822 0.0451940731283592 -0.0460864221845907 -0.0333668573919633 -0.0575364854548393 -0.0537853113511398 -0.0379057838338023 0.00735899983016151 -0.0362697716910272 -0.044944867238118 0.039662188835537
X104 0.0206748303247545 0.000464181244505018 0.157114690565274 0.169318136777454 0.16294319141219 2.21799596649445 -0.0370702320412283 -0.128882586540533 -0.124493123649558 -0.110503190879156 0.00719148512580476 0.213939866149637 -0.126827065590732 -0.0349435173420784 -0.00632767356165953 -0.0322947632840978 0.0153999944575836 -0.0193805348522672 -0.0337493974366468 -0.0467098368214018 -0.0487577040821224 -0.0349056821243699 -0.0332805006736858 -0.0364199572880343 -0.0390450282326362 -0.0149012494215484 -0.0505602200646545 -0.00869121939455109 -0.109798040619371 -0.12847665220093 -0.154198679463628 -0.0397202857822522 0.14095645323809 -0.0132327452024936 -0.116816906731771 -0.0411776637101277 -0.140559083480101 -0.0791531027778306 -0.0611530701581347 -0.0758087294691036 -0.0440756680954418 -0.0426356192749138 -0.131182736722374 -0.170615986945626 -0.136358363449979 -0.176872949971678 -0.186107486867608 -0.165282376522703 -0.112275814151505 -0.098607913959308 -0.112220505417231 0.021780860601171 -0.105498833495815 -0.119618445752856 -0.101213634067373 -0.107162716619572 -0.105219546049068 -0.11652130104228 -0.113894497186946 -0.10464768550662 -0.104999033158087 -0.0796453938357137 -0.0531205956751662 -0.0854213297236743 -0.0942047321916908 -0.068594622080588 -0.0882586822332675 -0.0799717586907526 -0.068972974257661 -0.0578804682356757 -0.077827426065793 0.0747559417606821 -0.0854954116575782 -0.0748811889983661 -0.0956499797444221 -0.0908727780765585 -0.0694786953737354 -0.0767928783571804 -0.0701185726625212 -0.0507098280247479 -0.1089910818539 0.0592598207433859 -0.0771081237016657 -0.0923909522893699 -0.0706203947294408 -0.0660572075373153 -0.0587021567423719 -0.0770873287728481 -0.0743761899284274 -0.0906971764554397 -0.0651604262321121 -0.0462319866863095 -0.0716880121512369 -0.0643381600885006 -0.13332403675354 -0.0807808835946208 -0.0378126398818147 -0.0487022509386096 -0.0283451709012826 -0.00393134683403536 -0.0279581541705328 -0.0755152899180331 0.141736840705627 0.0435990732063007 0.123166391635761 0.166384896540527 -0.0426395183240676 0.167332221075492 0.155376003461459 0.118752956812964 0.118833537162115 0.135808841900702 0.105166647834516 0.212622998400502 0.188464201029679 0.217818986829258 0.212682783820847 0.213796467786316 1.1158387455705 0.160468161655361 0.0870154187532594 0.0973504983749588 -0.0418891679759461 -0.0384174257282207 -0.0592925016659886 0.0189079834215079 -0.0497765111848918 -0.0477959386243687 0.277457831809805
X105 -0.0359891845612346 -0.0060325010998535 -0.0199099390817192 -0.0564580373409521 0.00609354176614928 -0.0370702320412283 1.99356583078933 0.0517655594527511 0.0500634078835996 0.0998951333795905 -0.017077063258187 -0.0990004182407122 0.0527778681402652 -0.0580757095117883 0.016050269210771 -0.059879236358918 -0.0532609614446746 -0.0552361908637666 -0.048330974813709 -0.0420292449270034 -0.0428289832310644 -0.0481832441735773 -0.043577456259219 -0.0528457849144898 -0.0542413556928282 0.00827773133800353 0.0122049402904941 -0.00946886308674118 -0.0116754360889177 0.051146910320465 -0.0517169379800645 -0.0146039108213191 -0.0577520884320866 -0.0434997640946172 -0.0552253601716759 -0.0313741544562951 -0.0564825869096955 0.0132318343100305 -0.082329239336069 0.06920254049291 -0.0537206160170494 0.00533828150428157 -0.0129224097717562 -0.0715992004760919 -0.0367268268973026 -0.0578115850339738 -0.063208591107947 -0.0641046503670032 0.00805230853326172 -0.0184248345820842 -0.0144704766947472 -0.0160121896117093 -0.0210870186982574 -0.00782230907033522 -0.0181244633880776 -0.00395445231050119 -0.0169702004295387 -0.00414767185742143 -0.00338374704187405 -0.0111636497852752 -0.0204381880373418 0.0466998281475749 0.0623081551349357 0.00331236444620058 0.0137352448784563 0.0820611713719954 0.0526728826315979 0.0143878301792965 0.0396748968475881 -0.0186620989435166 -0.00748034801868499 -0.0030331214365556 0.050387751009451 0.00479891303810655 -0.0353065621410003 0.00534968983328622 -0.00820383825042128 0.0288184999132047 -0.0322973626502039 -0.0281642261387336 0.021806421034506 -0.0488010268504931 -0.0119025918043917 0.0838235415891789 -0.00841409808622915 0.0551278395057417 0.0185189449615718 0.000618121481439727 0.0329676658489651 0.0300035220372786 0.0592474015497905 -0.0264807033599866 -0.00665013936754708 0.0558968186442638 -0.00899072413319391 0.0384295116662557 -0.0463957467507368 -0.00834752543216897 -0.0251735110291166 0.00585353362939838 -0.0175957812047652 0.024395678490594 0.0105576642279444 0.0299303065587391 -0.0114218534847448 0.00122680637700049 -0.00897252857047976 -0.022564902736495 0.0041708773060119 -0.0160960913731147 0.00412221139621266 -0.0163463525650498 -0.0175364290121 -0.0798069877617213 -0.101227352944017 -0.115557080627637 -0.101468371945369 -0.0886371788195691 -0.103466706840927 -0.0873272427133728 -0.0729266100988539 -0.0476698693684184 -0.00848298128793021 -0.0223732716910815 -0.0439189840831814 -0.0237658098756335 -0.0407926687085731 -0.0361109215403517 -0.139952709132188
X106 -0.0798696613666321 -0.0642757753020507 -0.0991664888527997 -0.0983638623641856 -0.117536786732822 -0.128882586540533 0.0517655594527512 1.8825934043428 1.84294440673309 1.20708761526275 -0.0803687396582284 -0.187049757079599 1.83686607792193 -0.113375634831131 -0.0491042862290625 -0.117023411927661 -0.141645618510747 -0.121936935906646 -0.108809703863676 -0.094460336525054 -0.112454448366421 -0.116411550029086 -0.110166428559713 -0.121781984805122 -0.126605253016684 -0.0572866574905855 -0.0517201149830758 -0.0703760543158454 -0.0285441668173174 1.84507112143223 -0.0965847406765617 -0.048704272667806 -0.0983725269178488 -0.115826403837676 -0.110860603718182 -0.126316145742437 -0.136819606523864 -0.0069341923188035 -0.121198571524437 0.0142379334007428 -0.103431904217014 -0.0651813655701568 -0.0570264320619311 -0.093441818240745 -0.0912443430199237 -0.0871243477481933 -0.0933969069708705 -0.107128202814109 -0.0552393678667794 -0.0714520474728602 -0.0645729694930546 -0.0978767700384956 -0.0662715108315024 -0.0456298002060077 -0.0511816129722698 -0.0639302040197078 -0.0688983146868368 -0.0576406045081497 -0.0448611098859435 -0.0686990299523486 -0.0586555125617593 -0.00945702153005333 -0.00314446095125957 -0.0541671293496899 -0.0588149403493573 0.00282325039133142 -0.0187968327531356 -0.0227303957116609 -0.0086578608629114 -0.0688391069034058 -0.0848367611691742 -0.0540856825451562 -0.030042412556688 -0.0865477217012244 -0.0735611442462161 -0.0572340925316383 -0.0746065226469144 -0.0406765636893456 -0.089795485236486 -0.101813510000038 -0.0444286042484104 -0.11503605213342 -0.0572361142608239 0.0173090844502999 -0.0380249214468166 -0.00859229907344442 -0.0449031329712591 -0.0503040380943763 -0.0307338439398258 -0.0192047888219268 -0.0050129719509403 -0.0900331828255963 -0.0675014442254547 -0.0134119570543072 -0.0601923155649826 -0.0084315716028011 -0.0982120882656667 -0.0843067793028053 -0.0938861654349593 -0.0477698005541216 -0.075112532581442 -0.0231360412328 -0.0593099751825677 -0.0948550069448846 -0.0687709457478399 -0.0765394401622413 -0.100002473873058 -0.0887254128578249 -0.0822204991874659 -0.0668319630449539 -0.0695829588362698 -0.0885984771465016 -0.0940172890138915 -0.173668509204772 -0.183408622807552 -0.182816689382429 -0.187878377229235 -0.196749724917017 -0.197011538847181 -0.1616657918194 0.656231828238648 0.37267911054266 -0.0454894344364965 -0.0694206428641186 -0.101938712800628 -0.11440455057985 -0.0992036020243604 -0.0990300221324326 -0.2324729576665
X107 -0.0782186306641544 -0.0632767522635014 -0.0989126174301683 -0.0950362405258904 -0.113762073924977 -0.124493123649558 0.0500634078835996 1.84294440673309 1.86292616718711 1.19255022710942 -0.0775068375798792 -0.177518748038803 1.8197951742745 -0.115711165273812 -0.0486454981120531 -0.1206443289078 -0.139137663449966 -0.121440890208841 -0.111312893419939 -0.096087972932615 -0.116224395669742 -0.120088353380419 -0.113377512151098 -0.12534701541407 -0.12763676813151 -0.0556542555785047 -0.0510936677524834 -0.0706251602339558 -0.0298178562073146 1.82595105084103 -0.0986408392632738 -0.0495867574594467 -0.0976715645256665 -0.114585206523953 -0.110327300439581 -0.12583872883503 -0.138279583817842 -0.0064754042017937 -0.119994631791509 0.0118278877964723 -0.104333017799052 -0.0652069260034933 -0.0603306596053037 -0.0984785232911282 -0.0934122143490228 -0.0915649315058397 -0.0998866576722918 -0.111401127458175 -0.0567552315319502 -0.0703039941111273 -0.066815355983744 -0.0952011558641312 -0.0658499802952879 -0.047220179032771 -0.052995537283807 -0.0644959993745843 -0.0678620340674903 -0.0600506501124218 -0.0478859055733466 -0.0696932874863776 -0.0592958230782271 -0.0105630518064708 -0.00408283211409514 -0.0555898490628705 -0.0584865537651333 0.00140053067814969 -0.0218216284405395 -0.0269660627749298 -0.0110492776767862 -0.0718080162196151 -0.0886812236340877 -0.0514659547419877 -0.0288384728237613 -0.0862565926977961 -0.0744995154090515 -0.0582283500656677 -0.0747252270322408 -0.0397520558123876 -0.0911995761592708 -0.102602850839691 -0.0458699527519902 -0.112192778845473 -0.0581931142140569 0.0159608798987097 -0.040434967051087 -0.0113562916952768 -0.0426187233952524 -0.0486902649726951 -0.0306662604211732 -0.0201431599847627 -0.0071063281184477 -0.09071075092286 -0.0670426561084444 -0.0139218660379903 -0.0605345654350839 -0.00964937462160578 -0.100175042900388 -0.0836617032818161 -0.0920488468285017 -0.0456716788820943 -0.0742997974468724 -0.0227890258581786 -0.0565598458466127 -0.0911734380890292 -0.0669522559317813 -0.0754845307524976 -0.101536966328628 -0.0869812382033582 -0.0799547184018558 -0.0645475534689465 -0.0682299887801593 -0.0858297190201473 -0.0921799704074354 -0.162349136285782 -0.173430522797207 -0.171758119529008 -0.177993421170879 -0.185709783853993 -0.185803938670581 -0.152209297940203 0.665129458405924 0.381781657404306 -0.0449188735770999 -0.0679559000656201 -0.103417318885006 -0.112679004715781 -0.0985957835841678 -0.0988506658713924 -0.218824985947769
X108 -0.0701899108210963 -0.0322787338598041 -0.099509027541356 -0.101705636306813 -0.0953571178302687 -0.110503190879156 0.0998951333795905 1.20708761526275 1.19255022710942 1.8760588867807 -0.0586361617252268 -0.19031701586062 1.1987482711705 -0.102801702346497 -0.0343761334856938 -0.0933161822124698 -0.126358602055442 -0.103464396293293 -0.0922559296612912 -0.0824519871797735 -0.0935907041546992 -0.0924807748291238 -0.0896260932121848 -0.109605976346265 -0.11856483602617 -0.0429869669263778 -0.0261686350185169 -0.0455883547576036 -0.0304515238992993 1.20494140531783 -0.0853960581087956 -0.035950771706612 -0.100764232550179 -0.105941736597756 -0.0992434589712605 -0.118722819721485 -0.109181702034719 0.00907934696202431 -0.110177548070252 0.0284072224321652 -0.0950189114185423 -0.039331824959223 -0.0577229177680465 -0.0966345618601912 -0.0732188943761111 -0.0858834392529284 -0.0939443623538096 -0.104154816811835 -0.0382385026948636 -0.0477448177576888 -0.0444238387438841 -0.0738901084673477 -0.0464390695191046 -0.0240835101769935 -0.0321688384373921 -0.0440977627073117 -0.0435703802070494 -0.0286427983199721 -0.0292015176226866 -0.0459604973378757 -0.0384318666510133 0.00983518486079319 0.0140240633342409 -0.0347445214260438 -0.0296494750475884 0.0248166313899056 -0.00453439976971773 -0.000420325276329059 0.025742294540669 -0.0565326969117677 -0.052057310530203 -0.0277331645934782 0.0156840474088494 -0.0608285826230691 -0.050971641954922 -0.0376065679136191 -0.0728440080204962 -0.0182733493020388 -0.0688080589194179 -0.078180795446448 -0.0139777524091847 -0.0938623379123562 -0.0331749375281031 0.0326333584863981 -0.0236320869306055 0.0169032945199254 -0.0138561598392894 -0.0247153005490226 -0.0174587368475132 -0.00516590132327402 0.0177069318731351 -0.0691389004605089 -0.0334738646298301 0.00588024933656462 -0.053698088177495 -0.00352079139914024 -0.0715801384580056 -0.0699884599481927 -0.0847652786013589 -0.0332093069243381 -0.0371356494214673 0.00148399921186954 -0.0555728087739782 -0.0651679355119673 -0.0595196573814633 -0.0680333034117787 -0.0689555007410809 -0.0960164903648174 -0.0689453920951348 -0.0602445917054754 -0.0709128234159276 -0.0731065439968105 -0.0910066454308194 -0.169856827634595 -0.18406785093287 -0.185785887517085 -0.191015234477472 -0.188932853411281 -0.190032962909349 -0.16018270904896 0.370924682833013 0.647930897001006 -0.0366107218780835 -0.0713093711557053 -0.0857575144062001 -0.0914052148997856 -0.0767258724754383 -0.0807623992134445 -0.234100882892509
