CK	D	LN	LP	
ASV824	0.118401526	0.050634887	0.094011211	0.163690871
ASV10	0.320263868	0.135758215	0.273651135	0.275663978
ASV111	0.16087975	0.213553067	0.019606781	0.02778012
ASV49	0.453896969	0.13774712	0.237242176	0.04122592
ASV7	0.309813603	1.53E-07	0.111454505	1.34E-07
ASV37	0.374484123	1.81E-06	1.73E-06	6.39E-07
ASV1589	0.156079856	1.29E-07	1.21E-07	0.115995579
ASV2507	1.21E-07	0.036283747	0.040687795	0.008782427
ASV1107	1.78E-06	1.67E-07	1.76E-06	6.38E-07
ASV2234	1.30E-06	1.54E-07	1.47E-07	1.42E-07
ASV443	3.04E-07	1.64E-07	0.183342139	0.137402943
ASV1324	1.33E-07	0.28163339	0.273375447	0.121490281
ASV789	0.149969211	0.079430845	0.060473366	0.175660242
ASV43	1.22E-07	1.49E-07	0.330202203	0.411627391
ASV631	0.03704647	1.37E-07	0.281922721	5.81E-07
ASV931	1.55E-06	1.41E-07	0.036187958	1.25E-07
ASV278	1.22E-07	1.24E-07	0.126230568	0.181058845
ASV498	1.25E-06	8.06E-07	0.018359167	8.02E-07
ASV609	1.21E-07	2.24E-07	0.108949573	0.175479467
ASV1340	0.047374394	0.113560726	9.03E-07	0.300416678
ASV627	1.24E-07	0.043947928	0.18570113	0.304005927
ASV685	0.21033267	0.135768921	0.049935031	0.185752514
ASV1038	0.096155828	0.036963968	1.42E-06	1.34E-07
ASV155	8.18E-07	8.79E-07	1.35E-07	0.261935017
ASV336	9.08E-07	1.01E-06	0.162442343	8.76E-07
ASV792	0.158734136	1.89E-07	0.35394788	0.262146673
ASV1378	0.038825515	1.77E-06	1.68E-07	1.55E-07
ASV2341	1.73E-06	1.44E-07	0.006344834	1.61E-06
ASV902	3.04E-07	0.140128287	8.43E-07	1.60E-07
ASV290	0.359894112	0.356407717	0.337486503	0.094503018
ASV1056	0.102365235	0.22690657	0.035530219	0.367370499
ASV572	6.94E-07	0.018915551	0.374739465	0.123172056
ASV601	0.202783268	1.77E-07	0.137765211	0.116765809
ASV380	8.26E-07	0.022248662	0.139667952	0.185208826
ASV90	1.67E-07	1.23E-06	1.81E-06	1.03E-06
ASV174	1.65E-06	0.22961181	0.323889825	0.020519688
ASV20	4.05E-07	0.317219566	0.18491058	0.0788552
ASV702	8.93E-07	3.17E-07	0.292097278	0.371721423
ASV140	8.83E-07	7.58E-07	0.015071498	0.226067729
ASV323	0.121500617	1.33E-07	1.05E-06	1.58E-06
ASV481	0.029256934	0.242740141	0.077874109	0.087705087
ASV1050	0.27020225	0.073192118	1.43E-07	1.43E-07
ASV496	5.87E-07	0.270090832	1.71E-06	0.321965555
ASV23	0.387360487	0.355777147	0.356481273	0.559876804
ASV740	1.65E-06	0.185378685	4.23E-07	0.097031765
ASV38	1.58E-07	1.01E-06	7.82E-07	1.28E-07
ASV249	1.45E-07	9.55E-07	0.128086828	0.124553186
ASV289	0.013463311	0.040077691	1.49E-07	0.065087825
ASV534	1.16E-06	0.17561365	1.23E-07	0.249636667
ASV47	1.46E-06	0.143090782	1.43E-06	0.253731465
ASV172	0.154034446	0.190378045	1.36E-06	1.02E-06
ASV254	0.160336723	0.272546367	1.01E-06	1.63E-06
ASV737	1.56E-07	0.151427471	6.37E-07	6.62E-07
ASV352	0.111566777	0.116848871	1.68E-07	0.242927919
ASV664	0.064305919	0.288488783	0.108933735	0.340186422
ASV264	0.226199774	1.59E-07	0.370642698	1.57E-07
ASV420	1.76E-06	1.58E-07	1.29E-07	0.177745033
ASV1024	0.117941014	0.313358405	0.193990764	0.090062454
ASV532	0.608422014	0.250826973	0.14839645	0.416388124
ASV570	0.112712105	0.199518792	0.082777285	0.079238287
ASV499	1.63E-06	0.169792407	0.282116089	0.159335006
ASV101	0.101620242	1.63E-07	0.162307073	0.30694216
ASV180	1.40E-07	0.275955548	0.160412799	0.127355952
ASV634	0.005989585	0.415071928	3.04E-07	0.056488158
ASV372	0.034489037	0.199411076	1.68E-06	2.02E-07
ASV437	3.34E-07	0.289996857	7.66E-07	0.084923111
ASV363	0.30868648	0.224702037	3.04E-07	0.177263521
ASV637	7.39E-07	0.057573295	1.74E-06	1.55E-07
ASV71	9.56E-07	0.253596134	1.71E-06	0.428906912
ASV135	0.02922069	0.017535315	0.144714577	0.351555414
